study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Upreti2013a	all	18.0	API10	cmax	apixaban	plasma	LC MS/MS	NA	hr	230.0	28.0	NA	NA	NA	64.4	NA	ng/ml	geometric mean 
Upreti2013a	all	18.0	API10	tmax	apixaban	plasma	LC MS/MS	NA	hr	NA	NA	3.0	1.0	5.98	NA	NA	hr	NA
Upreti2013a	all	18.0	API10	auc_end	apixaban	plasma	LC MS/MS	60.0	hr	2193.0	26.0	NA	NA	NA	570.1800000000001	NA	ng*hr/ml	geometric mean 
Upreti2013a	all	18.0	API10	auc_inf	apixaban	plasma	LC MS/MS	NA	hr	2222.0	25.0	NA	NA	NA	555.5	NA	ng*hr/ml	geometric mean 
Upreti2013a	all	18.0	API10	thalf	apixaban	plasma	LC MS/MS	NA	hr	9.2	NA	NA	NA	NA	4.42	NA	hr	NA
Upreti2013a	all	18.0	API10, FAMO40	cmax	apixaban	plasma	LC MS/MS	NA	hr	225.0	20.0	NA	NA	NA	45.0	NA	ng/ml	geometric mean 
Upreti2013a	all	18.0	API10, FAMO40	tmax	apixaban	plasma	LC MS/MS	NA	hr	NA	NA	2.01	1.0	4.02	NA	NA	hr	NA
Upreti2013a	all	18.0	API10, FAMO40	auc_end	apixaban	plasma	LC MS/MS	60.0	hr	2198.0	20.0	NA	NA	NA	439.6	NA	ng*hr/ml	geometric mean 
Upreti2013a	all	18.0	API10, FAMO40	auc_inf	apixaban	plasma	LC MS/MS	NA	hr	2237.0	20.0	NA	NA	NA	447.40000000000003	NA	ng*hr/ml	geometric mean
Upreti2013a	all	18.0	API10, FAMO40	thalf	apixaban	plasma	LC MS/MS	NA	hr	11.0	4.61	NA	NA	NA	1.8	NA	hr	NA
