study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	0.0	hr	NA	2.33305258915514	2.71775639491095	0.38470380575580965	0.0906755565994018	ng/ml	NA
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	0.5	hr	NA	53.2617086167564	88.2040896114978	34.942380994741406	8.235998184061863	ng/ml	NA
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	1.0	hr	NA	134.369866843707	197.293502118481	62.923635274774	14.831243066567248	ng/ml	NA
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	2.0	hr	NA	214.820375655897	259.139630143965	44.319254488068	10.446148461881739	ng/ml	NA
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	3.0	hr	NA	217.638562661824	283.796816082212	66.15825342038798	15.593649875004814	ng/ml	NA
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	4.0	hr	NA	209.293006642909	295.069833778126	85.77682713521699	20.217792045326068	ng/ml	NA
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	6.0	hr	NA	159.17937400752	249.239310619868	90.059936612348	21.2273306306073	ng/ml	NA
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	12.0	hr	NA	63.0957344480193	184.891647896164	121.79591344814469	28.707572106664312	ng/ml	NA
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	24.0	hr	NA	17.5906958223498	24.709112279856	7.1184164575062	1.677826849470852	ng/ml	NA
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	36.0	hr	NA	6.12057822436772	8.85866790410082	2.7380896797330996	0.6453739266787256	ng/ml	NA
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	48.0	hr	NA	3.68160961760047	5.5508680300598	1.8692584124593306	0.44058843307999773	ng/ml	NA
Upreti2013a	all	18.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	60.0	hr	NA	2.21453739818977	3.01524987597503	0.8007124777852601	0.1887297409408801	ng/ml	NA
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	0.0	hr	NA	2.07482337479164	2.80007594935835	0.72525257456671	0.17094367118304096	ng/ml	NA
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	0.5	hr	NA	69.1230100050191	87.3995977762779	18.276587771258804	4.307833050002744	ng/ml	NA
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	1.0	hr	NA	183.717676157863	203.907857883063	20.190181725200006	4.758871470425878	ng/ml	NA
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	2.0	hr	NA	209.293006642909	268.103131580635	58.810124937726016	13.861679381964718	ng/ml	NA
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	3.0	hr	NA	214.820375655897	293.713919153958	78.89354349806098	18.595386533104925	ng/ml	NA
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	4.0	hr	NA	203.907857883063	254.483938431971	50.57608054890801	11.9208965073233	ng/ml	NA
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	6.0	hr	NA	137.918536960231	188.569607938201	50.651070977969994	11.93857192096124	ng/ml	NA
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	12.0	hr	NA	57.5940154406745	75.7260463635661	18.1320309228916	4.273760674086942	ng/ml	NA
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	24.0	hr	NA	19.78000582218	25.3380731094261	5.5580672872461	1.3100490230342787	ng/ml	NA
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	36.0	hr	NA	6.97262367868358	9.04906637094341	2.076442692259829	0.4894222361473923	ng/ml	NA
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	48.0	hr	NA	4.24914828119654	5.58688602080544	1.3377377396089	0.31530780904220573	ng/ml	NA
Upreti2013a	all	18.0	API10, FAMO40	concentration	apixaban	plasma	LC MS/MS	apixaban_API10, FAMO40	60.0	hr	NA	2.18586150342467	3.06755566847018	0.8816941650455101	0.20781730767876377	ng/ml	NA
