study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit
Upreti2013a	all	18	NA	species	18	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA
Upreti2013a	all	18	NA	overnight fast	18	NA	Y	NA	NA	NA	NA	NA	NA	NA
Upreti2013a	all	18	NA	healthy	18	NA	Y	NA	NA	NA	NA	NA	NA	NA
Upreti2013a	all	18	NA	sex	14	NA	M	NA	NA	NA	NA	NA	NA	NA
Upreti2013a	all	18	NA	sex	4	NA	F	NA	NA	NA	NA	NA	NA	NA
Upreti2013a	all	18	all	age 	18	NA	NA	34.0	NA	8.0	NA	20.0	44.0	yr
Upreti2013a	all	18	NA	ethnicity	18	NA	caucasian	NA	NA	NA	NA	NA	NA	NA
Upreti2013a	all	18	all	weight	12	NA	NA	73.3	NA	10.7	NA	55.7	91.7	kg
Upreti2013a	all	18	all	height	12	NA	NA	172.7	NA	8.7	NA	152.0	192.0	cm
Upreti2013a	all	18	all	bmi	12	NA	NA	24.7	NA	2.5	NA	19.7	28.4	kg/m^2
