study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	ci	mean_sd	mean_se	comments	mean_unit	value_unit
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	0.0	hr		0.0					baseline = no retinovir, single dose of API or EDO or RIV	mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	0.5	hr		1.0234385201305767e-06	372.97	97.3	3.0557389269370403e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	1.0	hr		1.3410663764961916e-06	510.81	105.41	3.3104361797372575e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	1.5	hr		1.3763438520130575e-06	518.92	113.51	3.564819379204766e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	2.0	hr		1.3586942328618063e-06	518.92	105.4	3.3101221264045704e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	2.5	hr		1.3763438520130575e-06	535.14	97.29	3.0554248736043744e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	3.0	hr		1.3763438520130575e-06	535.14	97.29	3.0554248736043744e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	4.0	hr		1.2881175190424373e-06	502.7	89.19	2.8010416741368443e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	6.0	hr		7.940369967355822e-07	300.0	64.86	2.0369499157362479e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	8.0	hr		5.823068552774755e-07	227.03	40.54	1.2731722106683244e-07			mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	23.0	hr		1.4115342763873776e-07						mole/meter^3	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	24.0	hr		1.058759521218716e-07						mole/meter^3	pg/ml
