study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	sd	se	unit	comments
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	0.0	hr	0.0	NA	NA	NA	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	0.25	hr	19.302622734402	41.3212380323739	22.0186152979719	3.89237804738345	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	0.5	hr	97.3142860603272	145.945995046417	48.63170898609	8.59695280118874	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	1.0	hr	170.789605953989	226.757219937868	55.9676139838797	9.89376984370809	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	2.0	hr	220.484094638867	289.303167749632	68.8190731107652	12.1656083178987	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	3.0	hr	227.069695336486	283.022775580895	55.953080244409	9.89120061727417	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	4.0	hr	220.796570037485	273.087147935301	52.2905778978157	9.24375555592722	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	5.0	hr	188.838693659051	242.061247600419	53.2225539413685	9.40850720100211	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	6.0	hr	151.372530021256	193.58214287877	42.2096128575149	7.46167587070191	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	9.0	hr	100.453573785979	127.976842908444	27.5232691224649	4.86547255922931	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	12.0	hr	66.0558458939158	86.2359431488558	20.1800972549399	3.56737090349302	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	24.0	hr	27.523269122465	34.8591741202547	7.33590499778973	1.29681704251935	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	36.0	hr	8.43298418882445	13.3330344310357	4.90005024221125	0.866214688605589	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	48.0	hr	5.68872313762857	7.81211318872204	2.12339005109347	0.37536587605806	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	60.0	hr	2.89527775428916	4.26663800131406	1.3713602470249	0.242424532530242	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	concentration	apixaban	plasma	HPLC MS/MS	API10_tablet_crushed_apixaban	72.0	hr	2.32977179772902	3.43327781655993	1.10350601883091	0.195074147248876	ng/ml	NA
