study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	sd	se	unit	comments
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	0.0	hr	0.0	NA	NA	NA	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	0.5	hr	41.9825072886297	76.0932944606414	34.1107871720117	7.27244426052666	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	1.0	hr	79.1545189504373	121.574344023324	42.4198250728863	9.04393709321905	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	1.5	hr	96.6472303206997	141.690962099125	45.0437317784257	9.60335588249033	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	2.0	hr	108.01749271137	150.0	41.9825072886298	8.9507006283405	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	3.0	hr	117.201166180758	150.0	32.798833819242	6.99273486589101	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	4.0	hr	109.32944606414	135.131195335277	25.801749271137	5.50095142783427	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	6.0	hr	77.8425655976676	95.33527696793	17.4927113702624	3.72945859514187	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	9.0	hr	48.9795918367347	62.0991253644315	13.1195335276968	2.79709394635641	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	12.0	hr	27.1137026239067	35.4227405247813	8.30903790087461	1.77149283269239	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	24.0	hr	9.38592466807654	6.1516387746092	3.23428589346734	0.689552069386082	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	48.0	hr	1.96597495814948	0.577388181237007	1.38858677691247	0.296047695559668	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	60.0	hr	0.530604149763545	1.2885217184405	0.757917568676956	0.16158856858043	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fasted_apixaban	72.0	hr	0.102134933843682	0.411792942384965	0.309658008541283	0.0660193092462532	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	0.0	hr	0.0	NA	NA	NA	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	0.5	hr	7.87172011661806	26.6763848396501	18.8046647230321	4.00916798977751	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	1.0	hr	37.1720116618076	1.31195335276965	35.8600583090379	7.64539012004085	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	1.5	hr	66.0349854227405	27.9883381924198	38.0466472303207	8.11157244443357	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	2.0	hr	82.2157434402332	48.9795918367347	33.2361516034986	7.08597133076957	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	3.0	hr	90.9620991253644	70.4081632653061	20.5539358600583	4.3821138492917	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	4.0	hr	80.466472303207	62.5364431486881	17.9300291545189	3.82269506002042	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	6.0	hr	57.7259475218659	41.9825072886297	15.7434402332362	3.35651273562769	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	9.0	hr	37.1720116618076	26.2390670553936	10.932944606414	2.33091162196367	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	12.0	hr	22.3032069970845	16.1807580174927	6.12244897959184	1.30531050829966	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	24.0	hr	8.62541136117428	12.615876565922	3.99046520474774	0.850770040244355	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	48.0	hr	2.05081556771406	3.40494492619773	1.35412935848367	0.288701349266882	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	60.0	hr	0.655411053482263	1.46264056723255	0.807229513750283	0.172101910594951	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	concentration	apixaban	plasma	HPLC MS/MS	API5_food_fed_apixaban	72.0	hr	0.362771388713426	0.958630795035779	0.595859406322353	0.127037652275154	ng/ml	NA
