study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	geomean	median	min	max	cv	unit	comments
Song2016	NA	crushed	32.0	API10_tablet	cmax	apixaban	plasma	HPLC MS/MS	API10_tablet_cmax_crushed_apixaban	NA	NA	NA	NA	NA	233.0	NA	NA	NA	27.0	ng/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	auc_inf	apixaban	plasma	HPLC MS/MS	API10_tablet_auc_inf_crushed_apixaban	NA	NA	NA	NA	NA	2443.0	NA	NA	NA	27.0	ng*hr/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	auc_end	apixaban	plasma	HPLC MS/MS	API10_tablet_auc_end_crushed_apixaban	72.0	hr	NA	NA	NA	2406.0	NA	NA	NA	27.0	ng*hr/ml	NA
Song2016	NA	crushed	32.0	API10_tablet	tmax	apixaban	plasma	HPLC MS/MS	API10_tablet_tmax_crushed_apixaban	NA	NA	NA	NA	NA	NA	2.0	1.0	5.0	NA	hr	NA
Song2016	NA	crushed	32.0	API10_tablet	thalf	apixaban	plasma	HPLC MS/MS	API10_tablet_thalf_crushed_apixaban	NA	NA	12.4	5.4	NA	NA	NA	NA	NA	NA	hr	NA
Song2016	NA	crushed	33.0	API10_suspension	cmax	apixaban	plasma	HPLC MS/MS	API10_suspension_cmax_crushed_apixaban	NA	NA	NA	NA	NA	249.0	NA	NA	NA	23.0	ng/ml	NA
Song2016	NA	crushed	33.0	API10_suspension	auc_inf	apixaban	plasma	HPLC MS/MS	API10_suspension_auc_inf_crushed_apixaban	NA	NA	NA	NA	NA	2528.0	NA	NA	NA	22.0	ng*hr/ml	NA
Song2016	NA	crushed	33.0	API10_suspension	auc_end	apixaban	plasma	HPLC MS/MS	API10_suspension_auc_end_crushed_apixaban	72.0	hr	NA	NA	NA	2488.0	NA	NA	NA	22.0	ng*hr/ml	NA
Song2016	NA	crushed	33.0	API10_suspension	tmax	apixaban	plasma	HPLC MS/MS	API10_suspension_tmax_crushed_apixaban	NA	NA	NA	NA	NA	NA	2.0	0.58	4.0	NA	hr	NA
Song2016	NA	crushed	33.0	API10_suspension	thalf	apixaban	plasma	HPLC MS/MS	API10_suspension_thalf_crushed_apixaban	NA	NA	12.2	5.2	NA	NA	NA	NA	NA	NA	hr	NA
Song2016	NA	crushed	32.0	API10_syrup	cmax	apixaban	plasma	HPLC MS/MS	API10_syrup_cmax_crushed_apixaban	NA	NA	NA	NA	NA	185.0	NA	NA	NA	23.0	ng/ml	NA
Song2016	NA	crushed	32.0	API10_syrup	auc_inf	apixaban	plasma	HPLC MS/MS	API10_syrup_auc_inf_crushed_apixaban	NA	NA	NA	NA	NA	2044.0	NA	NA	NA	22.0	ng*hr/ml	NA
Song2016	NA	crushed	32.0	API10_syrup	auc_end	apixaban	plasma	HPLC MS/MS	API10_syrup_auc_end_crushed_apixaban	72.0	hr	NA	NA	NA	2003.0	NA	NA	NA	23.0	ng*hr/ml	NA
Song2016	NA	crushed	32.0	API10_syrup	tmax	apixaban	plasma	HPLC MS/MS	API10_syrup_tmax_crushed_apixaban	NA	NA	NA	NA	NA	NA	2.0	1.0	4.0	NA	hr	NA
Song2016	NA	crushed	32.0	API10_syrup	thalf	apixaban	plasma	HPLC MS/MS	API10_syrup_thalf_crushed_apixaban	NA	NA	12.5	5.1	NA	NA	NA	NA	NA	NA	hr	NA
Song2016	NA	food_fasted	22.0	API5	cmax	apixaban	plasma	HPLC MS/MS	API5_cmax_food_fasted_apixaban	NA	NA	NA	NA	NA	121.3	NA	NA	NA	28.0	ng/ml	NA
Song2016	NA	food_fasted	22.0	API5	auc_inf	apixaban	plasma	HPLC MS/MS	API5_auc_inf_food_fasted_apixaban	NA	NA	NA	NA	NA	1229.0	NA	NA	NA	22.0	ng*hr/ml	NA
Song2016	NA	food_fasted	22.0	API5	auc_end	apixaban	plasma	HPLC MS/MS	API5_auc_end_food_fasted_apixaban	72.0	hr	NA	NA	NA	1200.0	NA	NA	NA	23.0	ng*hr/ml	NA
Song2016	NA	food_fasted	22.0	API5	tmax	apixaban	plasma	HPLC MS/MS	API5_tmax_food_fasted_apixaban	NA	NA	NA	NA	NA	NA	3.0	1.0	6.0	NA	hr	NA
Song2016	NA	food_fasted	22.0	API5	thalf	apixaban	plasma	HPLC MS/MS	API5_thalf_food_fasted_apixaban	NA	NA	9.87	2.35	NA	NA	NA	NA	NA	NA	hr	NA
Song2016	NA	food_fed	22.0	API5	cmax	apixaban	plasma	HPLC MS/MS	API5_cmax_food_fed_apixaban	NA	NA	NA	NA	NA	103.2	NA	NA	NA	20.0	ng/ml	NA
Song2016	NA	food_fed	22.0	API5	auc_inf	apixaban	plasma	HPLC MS/MS	API5_auc_inf_food_fed_apixaban	NA	NA	NA	NA	NA	971.6	NA	NA	NA	21.0	ng*hr/ml	NA
Song2016	NA	food_fed	22.0	API5	auc_end	apixaban	plasma	HPLC MS/MS	API5_auc_end_food_fed_apixaban	72.0	hr	NA	NA	NA	937.6	NA	NA	NA	22.0	ng*hr/ml	NA
Song2016	NA	food_fed	22.0	API5	tmax	apixaban	plasma	HPLC MS/MS	API5_tmax_food_fed_apixaban	NA	NA	NA	NA	NA	NA	2.0	0.917	4.02	NA	hr	NA
Song2016	NA	food_fed	22.0	API5	thalf	apixaban	plasma	HPLC MS/MS	API5_thalf_food_fed_apixaban	NA	NA	10.7	2.97	NA	NA	NA	NA	NA	NA	hr	NA
