study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Mendell2012p	all	23.0	baseline	prothrombin time	NA	plasma	coagulation assay	NA	NA	12.5	NA	NA	NA	NA	0.525	NA	sec	NA
Mendell2012p	all	23.0	baseline	inr	NA	plasma	coagulation assay	NA	NA	0.98	NA	NA	NA	NA	0.051	NA	dimensionless	NA
Mendell2012p	all	23.0	baseline	aPTT	NA	plasma	coagulation assay	NA	NA	35.5	NA	NA	NA	NA	3.85	NA	sec	NA
Mendell2012p	all	23.0	baseline	Anti-factor Xa activity	NA	plasma	coagulation assay	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	IU/mL	NA
Mendell2012p	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	0.0	hr	12.9	NA	NA	NA	NA	0.738	NA	sec	NA
Mendell2012p	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	2.0	hr	16.0	NA	NA	NA	NA	1000.0	NA	sec	NA
Mendell2012p	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	12.0	hr	13.5	NA	NA	NA	NA	0.729	NA	sec	NA
Mendell2012p	all	23.0	ED60	prothrombin time	NA	plasma	coagulation assay	24.0	hr	13.4	NA	NA	NA	NA	0.56	NA	sec	NA
Mendell2012p	all	23.0	ED60	inr	NA	plasma	coagulation assay	0.0	hr	1.02	NA	NA	NA	NA	0.072	NA	dimensionless	NA
Mendell2012p	all	23.0	ED60	inr	NA	plasma	coagulation assay	2.0	hr	1.27	NA	NA	NA	NA	0.088	NA	dimensionless	NA
Mendell2012p	all	23.0	ED60	inr	NA	plasma	coagulation assay	12.0	hr	1.07	NA	NA	NA	NA	0.057	NA	dimensionless	NA
Mendell2012p	all	23.0	ED60	inr	NA	plasma	coagulation assay	24.0	hr	1.05	NA	NA	NA	NA	0.051	NA	dimensionless	NA
Mendell2012p	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	0.0	hr	37.9	NA	NA	NA	NA	4.43	NA	sec	NA
Mendell2012p	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	2.0	hr	47.5	NA	NA	NA	NA	6.41	NA	sec	NA
Mendell2012p	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	12.0	hr	39.6	NA	NA	NA	NA	5.09	NA	sec	NA
Mendell2012p	all	23.0	ED60	aPTT	NA	plasma	coagulation assay	24.0	hr	39.0	NA	NA	NA	NA	5.39	NA	sec	NA
Mendell2012p	all	23.0	ED60	Anti-factor Xa activity	NA	plasma	coagulation assay	0.0	hr	0.3	NA	NA	NA	NA	0.165	NA	IU/mL	NA
Mendell2012p	all	23.0	ED60	Anti-factor Xa activity	NA	plasma	coagulation assay	2.0	hr	2.75	NA	NA	NA	NA	0.488	NA	IU/mL	NA
Mendell2012p	all	23.0	ED60	Anti-factor Xa activity	NA	plasma	coagulation assay	12.0	hr	0.81	NA	NA	NA	NA	0.216	NA	IU/mL	NA
Mendell2012p	all	23.0	ED60	Anti-factor Xa activity	NA	plasma	coagulation assay	24.0	hr	0.38	NA	NA	NA	NA	0.194	NA	IU/mL	NA
Mendell2012p	all	23.0	ED60, DIG	prothrombin time	NA	plasma	coagulation assay	0.0	hr	13.2	NA	NA	NA	NA	0.539	NA	sec	NA
Mendell2012p	all	23.0	ED60, DIG	prothrombin time	NA	plasma	coagulation assay	2.0	hr	16.9	NA	NA	NA	NA	1617.0	NA	sec	NA
Mendell2012p	all	23.0	ED60, DIG	prothrombin time	NA	plasma	coagulation assay	12.0	hr	13.6	NA	NA	NA	NA	0.581	NA	sec	NA
Mendell2012p	all	23.0	ED60, DIG	prothrombin time	NA	plasma	coagulation assay	24.0	hr	13.1	NA	NA	NA	NA	0.583	NA	sec	NA
Mendell2012p	all	23.0	ED60, DIG	inr	NA	plasma	coagulation assay	0.0	hr	1.04	NA	NA	NA	NA	0.049	NA	dimensionless	NA
Mendell2012p	all	23.0	ED60, DIG	inr	NA	plasma	coagulation assay	2.0	hr	1.34	NA	NA	NA	NA	0.137	NA	dimensionless	NA
Mendell2012p	all	23.0	ED60, DIG	inr	NA	plasma	coagulation assay	12.0	hr	1.06	NA	NA	NA	NA	0.05	NA	dimensionless	NA
Mendell2012p	all	23.0	ED60, DIG	inr	NA	plasma	coagulation assay	24.0	hr	1.03	NA	NA	NA	NA	0.045	NA	dimensionless	NA
Mendell2012p	all	23.0	ED60, DIG	aPTT	NA	plasma	coagulation assay	0.0	hr	37.2	NA	NA	NA	NA	4.17	NA	sec	NA
Mendell2012p	all	23.0	ED60, DIG	aPTT	NA	plasma	coagulation assay	2.0	hr	47.8	NA	NA	NA	NA	7.01	NA	sec	NA
Mendell2012p	all	23.0	ED60, DIG	aPTT	NA	plasma	coagulation assay	12.0	hr	38.5	NA	NA	NA	NA	4.63	NA	sec	NA
Mendell2012p	all	23.0	ED60, DIG	aPTT	NA	plasma	coagulation assay	24.0	hr	37.4	NA	NA	NA	NA	5.41	NA	sec	NA
Mendell2012p	all	23.0	ED60, DIG	Anti-factor Xa activity	NA	plasma	coagulation assay	0.0	hr	0.27	NA	NA	NA	NA	0.953	NA	IU/mL	NA
Mendell2012p	all	23.0	ED60, DIG	Anti-factor Xa activity	NA	plasma	coagulation assay	2.0	hr	3.32	NA	NA	NA	NA	0.903	NA	IU/mL	NA
Mendell2012p	all	23.0	ED60, DIG	Anti-factor Xa activity	NA	plasma	coagulation assay	12.0	hr	0.86	NA	NA	NA	NA	0.191	NA	IU/mL	NA
Mendell2012p	all	23.0	ED60, DIG	Anti-factor Xa activity	NA	plasma	coagulation assay	24.0	hr	0.36	NA	NA	NA	NA	0.178	NA	IU/mL	NA
