study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Mendell2012	all	24.0	DIG	auc_end	digoxin	plasma	LC MS/MS	24.0	hr	16.5	NA	NA	NA	NA	NA	NA	ng*hr/ml	NA
Mendell2012	all	24.0	DIG	cmax	digoxin	plasma	LC MS/MS	24.0	hr	1.48	NA	NA	NA	NA	NA	NA	ng/ml	NA
Mendell2012	all	24.0	DIG	tmax	digoxin	plasma	LC MS/MS	NA	NA	NA	NA	0.98	0.983	1.98	NA	NA	hr	NA
Mendell2012	all	24.0	DIG	thalf	digoxin	plasma	LC MS/MS	NA	NA	36.51	NA	NA	NA	NA	20.48	NA	hr	NA
Mendell2012	all	24.0	DIG	cumulative amount	digoxin	urine	LC MS/MS	24.0	hr	0.12	NA	NA	NA	NA	0.04	NA	mg	NA
Mendell2012	all	24.0	DIG	recovery	digoxin	urine	LC MS/MS	24.0	hr	47.68	NA	NA	NA	NA	16.38	NA	percent	NA
Mendell2012	all	24.0	DIG	 clearance_renal	digoxin	urine	LC MS/MS	24.0	hr	7.28	NA	NA	NA	NA	2.51	NA	l/hr	NA
Mendell2012	all	23.0	DIG, ED60	auc_end	digoxin	plasma	LC MS/MS	24.0	hr	17.8	NA	NA	NA	NA	NA	NA	ng*hr/ml	NA
Mendell2012	all	23.0	DIG, ED60	cmax	digoxin	plasma	LC MS/MS	24.0	hr	1.89	NA	NA	NA	NA	NA	NA	ng/ml	NA
Mendell2012	all	23.0	DIG, ED60	tmax	digoxin	plasma	LC MS/MS	NA	NA	NA	NA	1.02	0.983	1.58	NA	NA	hr	NA
Mendell2012	all	23.0	DIG, ED60	thalf	digoxin	plasma	LC MS/MS	NA	NA	25.67	NA	NA	NA	NA	7.12	NA	hr	NA
Mendell2012	all	23.0	DIG, ED60	cumulative amount	digoxin	urine	LC MS/MS	24.0	hr	0.13	NA	NA	NA	NA	0.04	NA	mg	NA
Mendell2012	all	23.0	DIG, ED60	recovery	digoxin	urine	LC MS/MS	24.0	hr	53.82	NA	NA	NA	NA	17.7	NA	percent	NA
Mendell2012	all	23.0	DIG, ED60	 clearance_renal	digoxin	urine	LC MS/MS	24.0	hr	7.62	NA	NA	NA	NA	2.6	NA	l/hr	NA
