study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Mendell2012	all	23.0	ED60	cumulative amount	edoxaban	urine	LC MS/MS	edoxaban_urine_ED60	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Mendell2012	all	23.0	ED60	cumulative amount	edoxaban	urine	LC MS/MS	edoxaban_urine_ED60	24.0	hr	20.1	NA	NA	NA	NA	3.86	NA	mg	NA
Mendell2012	all	23.0	ED60, DIG	cumulative amount	edoxaban	urine	LC MS/MS	edoxaban_urine_ED60, DIG	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Mendell2012	all	23.0	ED60, DIG	cumulative amount	edoxaban	urine	LC MS/MS	edoxaban_urine_ED60, DIG	24.0	hr	19.58	NA	NA	NA	NA	3.7	NA	mg	NA
