study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Mendell2012p	all	23.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	1931.1	NA	NA	NA	NA	19.0	NA	ng*hr/ml	NA
Mendell2012p	all	23.0	ED60	cmax	edoxaban	plasma	LC MS/MS	24.0	hr	238.43	NA	NA	NA	NA	33.0	NA	ng/ml	NA
Mendell2012p	all	23.0	ED60	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	1.0	0.983	2.0	NA	NA	hr	NA
Mendell2012p	all	23.0	ED60	thalf	edoxaban	plasma	LC MS/MS	NA	NA	9.83	NA	NA	NA	NA	3.98	NA	hr	NA
Mendell2012p	all	23.0	ED60	cumulative amount	edoxaban	urine	LC MS/MS	24.0	hr	20.1	NA	NA	NA	NA	3.86	NA	mg	NA
Mendell2012p	all	23.0	ED60	recovery	edoxaban	urine	LC MS/MS	24.0	hr	33.49	NA	NA	NA	NA	6.43	NA	percent	NA
Mendell2012p	all	23.0	ED60	 clearance_renal	edoxaban	urine	LC MS/MS	24.0	hr	10.39	NA	NA	NA	NA	1.81	NA	l/hr	NA
Mendell2012p	all	23.0	ED60, DIG	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	2113.7	NA	NA	NA	NA	23.6	NA	ng*hr/ml	NA
Mendell2012p	all	23.0	ED60, DIG	cmax	edoxaban	plasma	LC MS/MS	24.0	hr	275.67	NA	NA	NA	NA	42.5	NA	ng/ml	NA
Mendell2012p	all	23.0	ED60, DIG	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	1.5	0.983	2.0	NA	NA	hr	NA
Mendell2012p	all	23.0	ED60, DIG	thalf	edoxaban	plasma	LC MS/MS	NA	NA	8.35	NA	NA	NA	NA	4.23	NA	hr	NA
Mendell2012p	all	23.0	ED60, DIG	cumulative amount	edoxaban	urine	LC MS/MS	24.0	hr	19.58	NA	NA	NA	NA	3.7	NA	mg	NA
Mendell2012p	all	23.0	ED60, DIG	recovery	edoxaban	urine	LC MS/MS	24.0	hr	32.63	NA	NA	NA	NA	6.17	NA	percent	NA
Mendell2012p	all	23.0	ED60, DIG	 clearance_renal	edoxaban	urine	LC MS/MS	24.0	hr	9.25	NA	NA	NA	NA	1.76	NA	l/hr	NA
