study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Mendell2012p	ED60	0	NA	hr	oral	multiple dose	dosing	tablet	edoxaban	60.0	mg	administered once daily for 7 days
Mendell2012p	DIG	0	NA	hr	oral	multiple dose	dosing	tablet	digoxin	0.25	mg	0.25 mg was administered every 12 hours for the first 2 days and then 0.25 mg/d until day 7
Mendell2012p	baseline	0	NA	hr	oral	single dose	dosing	tablet	edoxaban	0.0	mg	NA
