study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	cv	median	min	max	mean_sd	mean_se	comments	mean_unit	median_unit
Mikus2019	all	18.0	API25, RIV25, EDO50	recovery	apixaban	urine	HPLC MS/MS	urine_recovery_apixban_API25, RIV25, EDO50	0.0	hr	0.0								percent	percent
Mikus2019	all	18.0	API25, RIV25, EDO50	recovery	apixaban	urine	HPLC MS/MS	urine_recovery_apixban_API25, RIV25, EDO50	24.0	hr	24.3					7.35968282459467			percent	percent
