study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	cv	median	min	max	mean_sd	mean_se	comments	mean_unit	median_unit
Mikus2019	all	18.0	API25, RIV25, EDO50	cumulative amount	apixaban	urine	HPLC MS/MS	apixaban_urine_API25, RIV25, EDO50	0.0	hr	0.0								nmole	nmole
Mikus2019	all	18.0	API25, RIV25, EDO50	cumulative amount	apixaban	urine	HPLC MS/MS	apixaban_urine_API25, RIV25, EDO50	24.0	hr	13.2208922742111					4.00417999161843			nmole	nmole
