study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y	y_unit	comments
Frost2014		all	14.0	mAPI	0.5	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	3.980413492927094e-05	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.59	IU/mL	n of participants is taken from Fig3
Frost2014		all	14.0	mAPI	1.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.00010167573449401524	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.83	IU/mL	
Frost2014		all	14.0	mAPI	2.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.00014809575625680089	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.99	IU/mL	
Frost2014		all	14.0	mAPI	3.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.0002022198041349293	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	1.07	IU/mL	
Frost2014		all	14.0	mAPI	4.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.00019969532100108818	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	1.47	IU/mL	
Frost2014		all	14.0	mAPI	5.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.00019455930359085966	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	1.14	IU/mL	
Frost2014		all	14.0	mAPI	6.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.00018171926006528837	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.88	IU/mL	
Frost2014		all	14.0	mAPI	8.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.00015085963003264415	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.81	IU/mL	
Frost2014		all	14.0	mAPI	13.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.00012515778019586506	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.71	IU/mL	
Frost2014		all	14.0	mAPI	14.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	7.889009793253536e-05	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.46	IU/mL	
Frost2014		all	14.0	mAPI	15.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.00010470076169749728	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.61	IU/mL	
Frost2014		all	14.0	mAPI	16.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.0001511207834602829	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.8	IU/mL	
Frost2014		all	14.0	mAPI	17.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.00016145810663764962	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.88	IU/mL	
Frost2014		all	14.0	mAPI	18.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.00016147986942328618	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.84	IU/mL	
Frost2014		all	14.0	mAPI	20.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.00015636561479869424	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.79	IU/mL	
Frost2014		all	14.0	mAPI	24.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	0.00011527747551686617	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.75	IU/mL	
Frost2014		all	14.0	mAPI	36.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_mean	1.758433079434168e-05	mole/meter^3	Anti-factor Xa activity		plasma	coagulation assay	Xa_mean_all	0.66	IU/mL	
