study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	0.0	hr		0.42610309206114	0.565972222222222	0.139869130161082	0.39560964166226	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	0.5	hr		0.552802274251509	0.729139454893765	0.176337180642256	0.498756864829826	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	1.5	hr		0.702556781213401	0.958262582723789	0.255705801510388	0.723245224946947	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	2.0	hr		0.866688021140929	1.04851314872866	0.181825127587731	0.514279122829575	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	2.5	hr		0.768813625489234	0.944319270289097	0.175505644799863	0.496404926298003	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	3.0	hr		0.656551235723366	0.829708725182862	0.173157489459496	0.489763340040191	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	4.0	hr		0.630680623817579	0.79841518634622	0.167734562528641	0.474424986413444	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	6.0	hr		0.639396752785257	0.860822666318355	0.221425913533098	0.626287059958719	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	12.0	hr		0.64251609093002	0.850112112504353	0.207596021574333	0.587170218410239	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	24.0	hr		0.628597311338224	0.832174111807732	0.203576800469508	0.575802144416999	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	48.0	hr		0.606517952773245	0.84490377917102	0.238385826397775	0.674256937538503	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	72.0	hr		0.595966256594028	0.746527777777777	0.150561521183749	0.425852290459164	period 1	dimensionless	dimensionless
