study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	0.0	hr		25.6863317757009	31.3574660633484	5.6711342876475	16.0403900472604	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	0.5	hr		24.2260514018691	30.1357466063348	5.9096952044657	16.7151422152933	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	1.5	hr		30.5539330218068	33.393665158371	2.8397321365642	8.03197540207164	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	2.0	hr		30.4322429906542	30.6447963800904	0.212553389436202	0.601191772138095	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	2.5	hr		24.7128115264797	34.7171945701357	10.004383043656	28.2966683670275	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	3.0	hr		25.6863317757009	31.3574660633484	5.6711342876475	16.0403900472604	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	4.0	hr		25.6863317757009	31.6628959276018	5.9765641519009	16.9042761600222	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	6.0	hr		26.6598520249221	33.8009049773755	7.1410529524534	20.1979478699681	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	12.0	hr		23.3742211838006	30.3393665158371	6.9651453320365	19.7004059849313	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	24.0	hr		24.8345015576324	28.3031674208144	3.468665863182	9.81086861410513	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	48.0	hr		23.4959112149532	30.2375565610859	6.7416453461327	19.0682525624206	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	72.0	hr		27.6333722741432	32.9864253393665	5.3530530652233	15.1407204898833	period 1	seconds	seconds
