study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Wang2016		esrd	8.0	DIALYSIS_POST	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P1	0.0	hr						period 1	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_POST	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P1	0.5	hr		0.25439950158152	0.340654205607477	0.086254704025957	0.243965144503971	period 1	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_POST	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P1	1.5	hr		0.824888974088629	1.05981308411214	0.234924110023511	0.664465725047357	period 1	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_POST	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P1	2.0	hr		1.02774689287197	1.1733644859813	0.14561759310933	0.411868750190683	period 1	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_POST	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P1	2.5	hr		1.01088533179973	1.15654205607476	0.14565672427503	0.411979429841172	period 1	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_POST	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P1	3.0	hr		0.955987411738394	1.1018691588785	0.145881747140106	0.412615890616441	period 1	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_POST	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P1	4.0	hr		0.880002555992204	0.996728971962617	0.116726415970413	0.330152161105123	period 1	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_POST	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P1	6.0	hr		0.842117959040225	0.937850467289719	0.095732508249494	0.270772423052857	period 1	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_POST	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P1	12.0	hr		0.428446595737883	0.471028037383177	0.042581441645294	0.120438504560347	period 1	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_POST	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P1	24.0	hr		0.230700661362983	0.264953271028037	0.034252609665054	0.0968810102699823	period 1	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_POST	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P1	48.0	hr		0.0887312693696289	0.130373831775701	0.0416425624060721	0.11778295305327	period 1	IU/ml	IU/ml
Wang2016		esrd	8.0	DIALYSIS_POST	Anti-factor Xa activity		plasma	coagulation assay	xa_esrd_P1	72.0	hr		0.0566216173040672	0.075700934579439	0.0190793172753718	0.0539644585033002	period 1	IU/ml	IU/ml
