study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Wang2016		esrd	8.0	DIALYSIS_POST	prothrombin time		plasma	coagulation assay	pt_esrd_P1	0.0	hr		5.49658008885026	6.80471768698877	1.30813759813851	3.69997186547529	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	prothrombin time		plasma	coagulation assay	pt_esrd_P1	0.5	hr		6.75516732467805	8.50542721959365	1.7502598949156	4.9504825621347	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	prothrombin time		plasma	coagulation assay	pt_esrd_P1	1.5	hr		8.08072938126952	10.6657606240127	2.58503124274318	7.31157248529116	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	prothrombin time		plasma	coagulation assay	pt_esrd_P1	2.0	hr		9.40569211060585	11.4010286957684	1.99533658516255	5.64366412047219	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	prothrombin time		plasma	coagulation assay	pt_esrd_P1	2.5	hr		8.87648614430302	10.6190608723311	1.74257472802808	4.92874562765184	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	prothrombin time		plasma	coagulation assay	pt_esrd_P1	3.0	hr		7.75109939093368	9.42330144111385	1.67220205018017	4.72970163678578	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	prothrombin time		plasma	coagulation assay	pt_esrd_P1	4.0	hr		7.48709573503742	9.14686204416235	1.65976630912493	4.69452804946882	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	prothrombin time		plasma	coagulation assay	pt_esrd_P1	6.0	hr		7.62134504019239	9.74333209234406	2.12198705215167	6.00188573666599	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	prothrombin time		plasma	coagulation assay	pt_esrd_P1	12.0	hr		7.62688881730258	9.64747470731328	2.0205858900107	5.71507993918569	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	prothrombin time		plasma	coagulation assay	pt_esrd_P1	24.0	hr		7.50537521631968	9.40999996385468	1.904624747535	5.38709229839086	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	prothrombin time		plasma	coagulation assay	pt_esrd_P1	48.0	hr		7.39524883318475	9.62455857529612	2.22930974211137	6.30544014404873	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	prothrombin time		plasma	coagulation assay	pt_esrd_P1	72.0	hr		7.15237146303275	8.59781465403508	1.44544319100233	4.08833072871068	period 1	seconds	seconds
