study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	q1	q2	unit	comments
VandenBosch2021	all	24.0	NA	species	24.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	all	24.0	NA	healthy	24.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	all	24.0	NA	sex	10.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	all	24.0	NA	disease	24.0	NA	renal disease (end-stage)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	all	24.0	NA	medical procedure	24.0	NA	hemodialysis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	post2.5	6.0	all	age	6.0	NA	NA	NA	70.5	NA	NA	NA	NA	64.0	77.0	yr	NA
VandenBosch2021	post2.5	6.0	all	sex	4.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	post2.5	6.0	all	ethnicity	6.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	post2.5	6.0	all	concentration	6.0	albumin	NA	NA	34.9	NA	NA	NA	NA	NA	NA	g/l	NA
VandenBosch2021	post2.5	6.0	all	concentration	6.0	haemoglobin	NA	NA	9.6	NA	NA	NA	NA	NA	NA	g/dl	NA
VandenBosch2021	post5	6.0	all	age	6.0	NA	NA	NA	72.8	NA	NA	NA	NA	66.0	84.0	yr	NA
VandenBosch2021	post5	6.0	all	sex	3.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	post5	6.0	all	ethnicity	6.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	post5	6.0	all	disease	2.0	NA	diabetes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	post5	6.0	all	concentration	6.0	NA	NA	NA	33.7	NA	NA	NA	NA	NA	NA	g/l	NA
VandenBosch2021	post5	6.0	all	concentration	6.0	haemoglobin	NA	NA	8.9	NA	NA	NA	NA	NA	NA	g/dl	NA
VandenBosch2021	pre2.5	6.0	all	age	6.0	NA	NA	NA	59.3	NA	NA	NA	NA	33.0	85.0	yr	NA
VandenBosch2021	pre2.5	6.0	all	sex	1.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	pre2.5	6.0	all	ethnicity	6.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	pre2.5	6.0	all	disease	1.0	NA	diabetes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	pre2.5	6.0	all	concentration	6.0	albumin	NA	NA	41.1	NA	NA	NA	NA	NA	NA	g/l	NA
VandenBosch2021	pre2.5	6.0	all	concentration	6.0	haemoglobin	NA	NA	11.5	NA	NA	NA	NA	NA	NA	g/dl	NA
VandenBosch2021	pre5	6.0	all	age	6.0	NA	NA	NA	71.7	NA	NA	NA	NA	63.0	85.0	yr	NA
VandenBosch2021	pre5	6.0	all	sex	2.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	pre5	6.0	all	ethnicity	6.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	pre5	6.0	all	disease	3.0	NA	diabetes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VandenBosch2021	pre5	6.0	all	concentration	6.0	albumin	NA	NA	39.9	NA	NA	NA	NA	NA	NA	g/l	NA
VandenBosch2021	pre5	6.0	all	concentration	6.0	haemoglobin	NA	NA	11.0	NA	NA	NA	NA	NA	NA	g/dl	NA
