study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	value	median	sd	se	min	max	cv	unit	comments
VandenBosch2021	NA	post2.5	6.0	PO2.5	auc_end	apixaban	plasma	NR	48.0	hr	NA	2214.2	NA	NA	479.0	4411.0	NA	ng*hr/ml	NA
VandenBosch2021	NA	post2.5	6.0	PO2.5	cmax	apixaban	plasma	NR	NA	NA	NA	127.5	NA	NA	45.4	210.4	NA	ng/ml	NA
VandenBosch2021	NA	post2.5	6.0	PO2.5	tmax	apixaban	plasma	NR	NA	NA	NA	3.33	NA	NA	1.0	3.5	NA	hr	NA
VandenBosch2021	NA	post5	6.0	PO5	auc_end	apixaban	plasma	NR	48.0	hr	NA	3817.6	NA	NA	1243.0	5604.0	NA	ng*hr/ml	NA
VandenBosch2021	NA	post5	6.0	PO5	cmax	apixaban	plasma	NR	NA	NA	NA	195.9	NA	NA	85.59	280.05	NA	ng/ml	NA
VandenBosch2021	NA	post5	6.0	PO5	tmax	apixaban	plasma	NR	NA	NA	NA	2.83	NA	NA	1.0	4.0	NA	hr	NA
VandenBosch2021	NA	pre2.5	6.0	PO2.5	auc_end	apixaban	plasma	NR	48.0	hr	NA	1159.0	NA	NA	563.0	1938.0	NA	ng*hr/ml	NA
VandenBosch2021	NA	pre2.5	6.0	PO2.5	cmax	apixaban	plasma	NR	NA	NA	NA	86.4	NA	NA	63.3	106.84	NA	ng/ml	NA
VandenBosch2021	NA	pre2.5	6.0	PO2.5	tmax	apixaban	plasma	NR	NA	NA	NA	3.5	NA	NA	1.5	5.5	NA	hr	NA
VandenBosch2021	NA	pre5	6.0	PO5	auc_end	apixaban	plasma	NR	48.0	hr	NA	2792.1	NA	NA	1750.0	3788.0	NA	ng*hr/ml	NA
VandenBosch2021	NA	pre5	6.0	PO5	cmax	apixaban	plasma	NR	NA	NA	NA	158.0	NA	NA	94.96	230.17	NA	ng/ml	NA
VandenBosch2021	NA	pre5	6.0	PO5	tmax	apixaban	plasma	NR	NA	NA	NA	2.75	NA	NA	1.0	3.8	NA	hr	NA
