study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments	yraw
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	52.2727272727272				percent	incorrect axes	85.2272727272727
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	31.8181818181817				percent		68.1818181818181
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	35.2272727272727				percent		71.0227272727273
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	35.2272727272727				percent		71.0227272727273
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	-19.3181818181818				percent		25.5681818181818
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	27.5568181818182				percent		64.6306818181818
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	38.6363636363636				percent		73.8636363636363
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	43.75				percent		78.125
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	2.4650404442707074e-06	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	-13.3522727272728				percent		30.5397727272727
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	4.930080888541437e-06	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	-16.7613636363637				percent		27.6988636363636
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	4.930080888541437e-06	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	1.98863636363632				percent		43.3238636363636
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	7.395121332812123e-06	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	9.65909090909092				percent		49.7159090909091
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	7.395121332812123e-06	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	-3.97727272727276				percent		38.3522727272727
Frost2013		single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	9.860161777082873e-06	mole/meter^3	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	43.75				percent		78.125
