output	control	unit
API AUC∞	0.000115 (85.6)	mM*min
API Cmax	2.19e-07 (91.9)	mM
API Half-life	284 (13.4)	min
API Vd	4.97e+04 (43.6)	l
API CL	0.121 (39.8)	mole/min/mM
API kel	0.00247 (10.5)	1/min
M1 AUC∞	0.358 (53.3)	mM*min
M1 Cmax	0.000421 (52.5)	mmole/l
M1 Half-life	287 (12.1)	min
M7 AUC∞	0.358 (52.4)	mM*min
M7 Cmax	0.000422 (52.2)	mmole/l
M7 Half-life	287 (12.1)	min
max PT	12.5 (0.0)	s
max mPT	53.5 (0.8)	s
max aPTT	28.4 (0.4)	s
max INR	1.09 (0.4)	dimensionless
max Xa inhibition	0.112 (129.7)	dimensionless
