study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Cho2025	all	14.0	EDO60	auc_end	edoxaban	plasma	HPLC MS/MS	24.0	hr	991.2	NA	NA	NA	NA	238.7	NA	ng*hr/ml	NA
Cho2025	all	14.0	EDO60	auc_inf	edoxaban	plasma	HPLC MS/MS	NA	NA	1087.1	NA	NA	NA	NA	279.5	NA	ng*hr/ml	NA
Cho2025	all	14.0	EDO60	cmax	edoxaban	plasma	HPLC MS/MS	NA	NA	NA	NA	0.9	0.7	2.5	NA	NA	ng/ml	NA
Cho2025	all	14.0	EDO60	tmax	edoxaban	plasma	HPLC MS/MS	NA	NA	185.1	NA	NA	NA	NA	66.1	NA	hr	NA
Cho2025	all	14.0	EDO60	thalf	edoxaban	plasma	HPLC MS/MS	NA	NA	6.8	NA	NA	NA	NA	4.1	NA	hr	NA
Cho2025	all	14.0	EDO60, BBCT	auc_end	edoxaban	plasma	HPLC MS/MS	24.0	hr	988.6	NA	NA	NA	NA	216.5	NA	ng*hr/ml	NA
Cho2025	all	14.0	EDO60, BBCT	auc_inf	edoxaban	plasma	HPLC MS/MS	NA	NA	1054.2	NA	NA	NA	NA	224.5	NA	ng*hr/ml	NA
Cho2025	all	14.0	EDO60, BBCT	cmax	edoxaban	plasma	HPLC MS/MS	NA	NA	NA	NA	1.5	1.0	6.0	NA	NA	ng/ml	NA
Cho2025	all	14.0	EDO60, BBCT	tmax	edoxaban	plasma	HPLC MS/MS	NA	NA	158.5	NA	NA	NA	NA	78.3	NA	hr	NA
Cho2025	all	14.0	EDO60, BBCT	thalf	edoxaban	plasma	HPLC MS/MS	NA	NA	5.7	NA	NA	NA	NA	1.7	NA	hr	NA
Cho2025	all	14.0	EDO60, HRHDT	auc_end	edoxaban	plasma	HPLC MS/MS	24.0	hr	996.6	NA	NA	NA	NA	252.2	NA	ng*hr/ml	NA
Cho2025	all	14.0	EDO60, HRHDT	auc_inf	edoxaban	plasma	HPLC MS/MS	NA	NA	1059.1	NA	NA	NA	NA	248.1	NA	ng*hr/ml	NA
Cho2025	all	14.0	EDO60, HRHDT	cmax	edoxaban	plasma	HPLC MS/MS	NA	NA	NA	NA	1.3	0.7	3.0	NA	NA	ng/ml	NA
Cho2025	all	14.0	EDO60, HRHDT	tmax	edoxaban	plasma	HPLC MS/MS	NA	NA	137.3	NA	NA	NA	NA	55.6	NA	hr	NA
Cho2025	all	14.0	EDO60, HRHDT	thalf	edoxaban	plasma	HPLC MS/MS	NA	NA	6.0	NA	NA	NA	NA	1.7	NA	hr	NA
Cho2025	all	14.0	EDO60	auc_end	edoxaban-M4	plasma	HPLC MS/MS	24.0	hr	99.7	NA	NA	NA	NA	32.2	NA	ng*hr/ml	NA
Cho2025	all	14.0	EDO60	auc_inf	edoxaban-M4	plasma	HPLC MS/MS	NA	NA	110.4	NA	NA	NA	NA	32.5	NA	ng*hr/ml	NA
Cho2025	all	14.0	EDO60	cmax	edoxaban-M4	plasma	HPLC MS/MS	NA	NA	NA	NA	2.0	1.0	3.0	NA	NA	ng/ml	NA
Cho2025	all	14.0	EDO60	tmax	edoxaban-M4	plasma	HPLC MS/MS	NA	NA	15.3	NA	NA	NA	NA	4.8	NA	hr	NA
Cho2025	all	14.0	EDO60	thalf	edoxaban-M4	plasma	HPLC MS/MS	NA	NA	6.4	NA	NA	NA	NA	4.1	NA	hr	NA
Cho2025	all	14.0	EDO60, BBCT	auc_end	edoxaban-M4	plasma	HPLC MS/MS	24.0	hr	93.8	NA	NA	NA	NA	32.0	NA	ng*hr/ml	NA
Cho2025	all	14.0	EDO60, BBCT	auc_inf	edoxaban-M4	plasma	HPLC MS/MS	NA	NA	111.1	NA	NA	NA	NA	45.2	NA	ng*hr/ml	NA
Cho2025	all	14.0	EDO60, BBCT	cmax	edoxaban-M4	plasma	HPLC MS/MS	NA	NA	NA	NA	2.8	1.0	5.0	NA	NA	ng/ml	NA
Cho2025	all	14.0	EDO60, BBCT	tmax	edoxaban-M4	plasma	HPLC MS/MS	NA	NA	13.1	NA	NA	NA	NA	5.7	NA	hr	NA
Cho2025	all	14.0	EDO60, BBCT	thalf	edoxaban-M4	plasma	HPLC MS/MS	NA	NA	7.4	NA	NA	NA	NA	4.5	NA	hr	NA
Cho2025	all	14.0	EDO60, HRHDT	auc_end	edoxaban-M4	plasma	HPLC MS/MS	24.0	hr	83.9	NA	NA	NA	NA	27.4	NA	ng*hr/ml	NA
Cho2025	all	14.0	EDO60, HRHDT	auc_inf	edoxaban-M4	plasma	HPLC MS/MS	NA	NA	91.4	NA	NA	NA	NA	27.6	NA	ng*hr/ml	NA
Cho2025	all	14.0	EDO60, HRHDT	cmax	edoxaban-M4	plasma	HPLC MS/MS	NA	NA	NA	NA	2.5	1.0	4.0	NA	NA	ng/ml	NA
Cho2025	all	14.0	EDO60, HRHDT	tmax	edoxaban-M4	plasma	HPLC MS/MS	NA	NA	11.5	NA	NA	NA	NA	4.6	NA	hr	NA
Cho2025	all	14.0	EDO60, HRHDT	thalf	edoxaban-M4	plasma	HPLC MS/MS	NA	NA	6.3	NA	NA	NA	NA	2.1	NA	hr	NA
