study	individual	group	count	intervention	measurement_type	tissue	substance	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	cv	comments	mean_unit	value_unit
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	0.0	hr		1.03623731426369	0.997377210636749	0.038860103626941	0.0079322854364736			dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	1.0	hr		1.05951055538903	1.00508499978589	0.0544255556031401	0.0111095700162639			dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	2.0	hr		1.09055581723976	1.04910504003768	0.04145077720208	0.0084611044655738			dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	3.0	hr		1.10606774290241	1.05424356613711	0.0518241767653	0.0105785657845654			dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	4.0	hr		1.10344495353916	1.06458484991222	0.03886010362694	0.0079322854364734			dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	6.0	hr		1.08263392283647	1.04637519804736	0.0362587247891102	0.0074012812047769			dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	12.0	hr		1.06		0.080666	0.016465878299279	7.61		dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	13.0	hr		1.07720635464394	0.994294094977091	0.0829122596668491	0.0169243941337435			dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	14.0	hr		1.06422087098017	1.02533935682782	0.03888151415235	0.0079366558416716			dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	15.0	hr		1.08490343853038	1.04088339827859	0.0440200402517899	0.0089855530894718			dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	16.0	hr		1.08228064916713	1.03306855650238	0.0492120926647499	0.0100453763502667			dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	18.0	hr		1.08738705947844	1.04334560870124	0.0440414507772	0.0089899234946701			dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	24.0	hr		1.06		0.05777	0.0117922518700487	5.45		dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	30.0	hr		1.02997473558001	0.988502547852524	0.041472187727486	0.0084654748707712			dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	36.0	hr		1.02		0.040902	0.0083490857882764	4.01		dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	48.0	hr		1.02		0.036006	0.0073496939732209	3.53		dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	60.0	hr		0.98484134800668	1.02370145163362	0.03886010362694	0.0079322854364734			dimensionless	dimensionless
Kreutz2017		all	24.0	api	aPTT (ratio)	plasma		coagulation assay	api_aPTT ratio	72.0	hr		0.992185158223783	1.03621590373828	0.0440307455144972	0.0089877382920714			dimensionless	dimensionless
