study	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y	y_unit	comments
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	4.7248153026745164e-05	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.310421286031042	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	5.7986369623732754e-05	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.376940133037694	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	6.872458622072035e-05	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.376940133037694	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	7.516751617891295e-05	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.532150776053214	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	8.590573277590056e-05	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.598669623059866	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	9.234866273409315e-05	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.687361419068734	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.00010738216596987574	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.643015521064301	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.00010308687933108074	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.776053215077606	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.00010308687933108074	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.886917960088691	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.00011812038256686333	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.820399113082039	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.00011597273924746573	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.931263858093126	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.00012456331252505573	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.997782705099778	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.00013100624248324832	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	1.01995565410199	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.0001331538858026457	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.798226164079823	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.00013744917244144092	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.842572062084258	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.0001417444590802359	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	0.931263858093126	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.0001460397457190309	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	1.06430155210643	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.0001546303189966209	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	1.13082039911308	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.00016322089227421111	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	1.08647450110864	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.00016751617891300611	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	1.24168514412416	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.0001653685355936085	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	1.35254988913525	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.00019328789874577628	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	1.26385809312638	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.00019543554206517366	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	1.39689578713968	IU/ml	
Cui2013		12	API10		day	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_antiXa	0.00019328789874577628	mole/meter^3	Anti-factor Xa activity	antiXa	plasma	coagulation assay	antiXa_vs_apixaban	1.55210643015521	IU/ml	
