study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	0.0	hr		1.07287694405833	1.02202981982218	0.0508471242361459	0.143817385404854	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	0.5	hr		1.12541569409111	1.1898220514569	0.0644063573657845	0.182168688179481	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	1.5	hr		1.18301620813554	1.27962902252878	0.0966128143932439	0.27326230482792	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	2.0	hr		1.21010844763828	1.14569881192793	0.0644096357103519	0.18217796073818	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	2.5	hr		1.24740617377849	1.32198523433607	0.0745790605575809	0.210941437819151	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	3.0	hr		1.16263801830628	1.09145860106481	0.0711794172414699	0.2013257944494	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	4.0	hr		1.15244236670251	1.0914290959637	0.0610132707388078	0.172571589927127	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	6.0	hr		1.15747790395762	1.07273597524194	0.0847419287156757	0.239686369782725	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	12.0	hr		1.15733365679666	1.19462810459231	0.0372944477956412	0.105484627747622	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	24.0	hr		1.15197684177398	1.22993915392483	0.0779623121508564	0.220510718395412	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	48.0	hr		1.13784062000052	1.23615489522411	0.0983142752235833	0.278074762792145	period 1	dimensionless	dimensionless
Wang2016		esrd	8.0	DIALYSIS_POST	inr		plasma	coagulation assay	inr_esrd_P1	72.0	hr		1.13558839728291	1.19999475464869	0.0644063573657845	0.182168688179481	period 1	dimensionless	dimensionless
