study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	0.0	hr		12.991452991453	12.1652421652422	0.826210826210827	2.33687711161366	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	0.5	hr		13.7321937321937	14.5584045584046	0.826210826210827	2.33687711161366	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	1.5	hr		14.9002849002849	15.8689458689459	0.96866096866097	2.73978695844361	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	2.0	hr		14.5868945868946	15.2991452991453	0.712250712250713	2.01454923414971	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	2.5	hr		15.014245014245	15.6695156695157	0.655270655270655	1.85338529541773	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	3.0	hr		15.3276353276353	16.6096866096866	1.28205128205128	3.62618862146947	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	4.0	hr		15.2421652421652	15.8974358974359	0.655270655270655	1.85338529541773	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	6.0	hr		15.1851851851852	15.8404558404558	0.655270655270655	1.85338529541773	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	12.0	hr		13.7037037037037	14.2165242165242	0.512820512820513	1.45047544858779	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	24.0	hr		13.6467236467236	14.2735042735043	0.626780626780628	1.77280332605175	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	48.0	hr		12.7635327635328	13.5042735042735	0.740740740740741	2.0951312035157	period 2	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_PRE	prothrombin time		plasma	coagulation assay	pt_esrd_P2	72.0	hr		13.048433048433	13.8176638176638	0.76923076923077	2.17571317288169	period 2	seconds	seconds
