study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	0.0	hr		36.2777777777778	38.8888888888889	2.61111111111111	7.38533749239284	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	0.5	hr		35.7777777777778	33.3888888888889	2.38888888888889	6.75679813133811	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	1.5	hr		38.6666666666667	39.8333333333333	1.16666666666666	3.29983164553722	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	2.0	hr		38.6111111111111	40.3333333333333	1.72222222222223	4.87118004817401	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	2.5	hr		35.8888888888889	33.4444444444444	2.44444444444445	6.91393297160181	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	3.0	hr		36.3333333333333	38.9444444444444	2.61111111111111	7.38533749239284	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	4.0	hr		36.3333333333333	34.0555555555555	2.27777777777778	6.44252845081077	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	6.0	hr		36.9444444444444	39.5	2.55555555555556	7.22820265212916	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	12.0	hr		35.2777777777778	33.8888888888889	1.38888888888889	3.92837100659192	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	24.0	hr		35.9444444444444	37.5555555555556	1.61111111111112	4.55691036764667	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	48.0	hr		35.3333333333333	38.3888888888889	3.05555555555556	8.64241621450225	period 1	seconds	seconds
Wang2016		esrd	8.0	DIALYSIS_POST	aPTT		plasma	coagulation assay	aptt_esrd_P1	72.0	hr		37.3333333333333	39.6111111111111	2.27777777777778	6.44252845081077	period 1	seconds	seconds
