,pmid,title,author,pubdate,keywords,prob,pmcid,table_info
0,34342172,"Apixaban Single-Dose Pharmacokinetics, Bioavailability, Renal Clearance, and Pharmacodynamics Following Intravenous and Oral Administration.",C Frost; S Garonzik; A Shenker; YC Barrett; F LaCreta,2021,apixaban; bioavailability; intravenous; pharmacodynamics; pharmacokinetics,0.9994325041770935,,
1,24725442,"Safety, tolerability, pharmacokinetics, and pharmacodynamics of multiple doses of apixaban in healthy Japanese male subjects.",N Yamahira; C Frost; H Fukase; Z Yu; J Wang; J Pursley; F LaCreta; M Hiraoka,2014,,0.9989026784896851,,
2,26331581,"Pharmacokinetics, pharmacodynamics, and safety of apixaban in subjects with end-stage renal disease on hemodialysis.",X Wang; G Tirucherai; TC Marbury; J Wang; M Chang; D Zhang; Y Song; J Pursley; RA Boyd; C Frost,2016,apixaban; end-stage renal disease; hemodialysis; pharmacodynamics; pharmacokinetics,0.998746395111084,,
3,25419161,A randomized direct comparison of the pharmacokinetics and pharmacodynamics of apixaban and rivaroxaban.,C Frost; Y Song; YC Barrett; J Wang; J Pursley; RA Boyd; F LaCreta,2014,apixaban; pharmacodynamics; pharmacokinetics; rivaroxaban; safety,0.998711347579956,PMC4235474,"PK - Table 2, Table 3 | Study Population - Table 1"
4,21461793,"Preclinical pharmacokinetics and pharmacodynamics of apixaban, a potent and selective factor Xa inhibitor.",K He; JM Luettgen; D Zhang; B He; JE Grace; B Xin; DJ Pinto; PC Wong; RM Knabb; PY Lam; RR Wexler; SJ Grossman,2011,,0.9986237287521362,,
5,26749408,"Effect of Rifampin on the Pharmacokinetics of Apixaban, an Oral Direct Inhibitor of Factor Xa.",B Vakkalagadda; C Frost; W Byon; RA Boyd; J Wang; D Zhang; Z Yu; C Dias; A Shenker; F LaCreta,2016,,0.9985590577125549,,
6,30498375,Evaluation of the single-dose pharmacokinetics and pharmacodynamics of apixaban in healthy Japanese and Caucasian subjects.,C Frost; A Shenker; S Jhee; Z Yu; J Wang; A Bragat; J Pursley; F LaCreta,2018,Asian; Eliquis; Japanese; anticoagulation; apixaban; novel; pharmacodynamics; pharmacokinetics; safety,0.9983606934547424,PMC6207247,"PK - Table 2, Table 3, Table 4 | Study Population - Table 1"
7,22759198,"Apixaban, an oral, direct factor Xa inhibitor: single dose safety, pharmacokinetics, pharmacodynamics and food effect in healthy subjects.",C Frost; J Wang; S Nepal; A Schuster; YC Barrett; R Mosqueda-Garcia; RA Reeves; F LaCreta,2013,,0.9979416728019714,PMC3558798,
8,34291105,Pharmacokinetics and Biologic Activity of Apixaban in Healthy Dogs.,ND Herrera; I Birschmann; M Wolny; MG Papich; MB Brooks; R Goggs,2021,anti-Xa activity; antithrombotic; direct oral anticoagulant; thromboelastography; thrombosis,0.9977717995643616,PMC8287028,"PK - Table 1, Table 3 | Study Population - None"
9,23488672,"Effect of extremes of body weight on the pharmacokinetics, pharmacodynamics, safety and tolerability of apixaban in healthy subjects.",VV Upreti; J Wang; YC Barrett; W Byon; RA Boyd; J Pursley; FP LaCreta; CE Frost,2013,anticoagulation; apixaban; body weight; factor Xa inhibitor; pharmacodynamics; pharmacokinetics,0.9977049231529236,PMC3845314,
10,34363188,Apixaban Pharmacokinetics and Pharmacodynamics in Subjects with Mild or Moderate Hepatic Impairment.,CE Frost; V Ly; SM Garonzik,2021,,0.997469425201416,PMC8602549,
11,17914785,"Discovery of 1-(4-methoxyphenyl)-7-oxo-6-(4-(2-oxopiperidin-1-yl)phenyl)-4,5,6,7-tetrahydro-1H-pyrazolo[3,4-c]pyridine-3-carboxamide (apixaban, BMS-562247), a highly potent, selective, efficacious, and orally bioavailable inhibitor of blood coagulation factor Xa.",DJ Pinto; MJ Orwat; S Koch; KA Rossi; RS Alexander; A Smallwood; PC Wong; AR Rendina; JM Luettgen; RM Knabb; K He; B Xin; RR Wexler; PY Lam,2007,,0.9970430731773376,,
12,25573421,Effects of age and sex on the single-dose pharmacokinetics and pharmacodynamics of apixaban.,CE Frost; Y Song; A Shenker; J Wang; YC Barrett; A Schuster; SI Harris; F LaCreta,2015,,0.9970351457595825,PMC4449375,"PK - Table 2, Table 3 | Study Population - Table 1"
13,26207972,Pharmacokinetics and pharmacodynamics of the factor Xa inhibitor apixaban after oral and intravenous administration to cats.,JA Myers; LA Wittenburg; CS Olver; CM Martinez; JM Bright,2015,,0.9967799782752991,,
14,24277644,Effect of activated charcoal on apixaban pharmacokinetics in healthy subjects.,X Wang; S Mondal; J Wang; G Tirucherai; D Zhang; RA Boyd; C Frost,2014,,0.9966202974319458,PMC3961628,PK - Table 2 | Study Population - Table 1
15,28260951,The effect of apixaban on the pharmacokinetics of digoxin and atenolol in healthy subjects.,C Frost; Y Song; Z Yu; J Wang; LS Lee; A Schuster; A Pollack; F LaCreta,2017,Phase 1; drug–drug interaction; factor Xa inhibitor; oral anticoagulant,0.9965751767158508,PMC5327911,"PK - Table 2, Table 3 | Study Population - Table 1"
16,24353445,"Single- and multiple-dose pharmacokinetics, pharmacodynamics, and safety of apixaban in healthy Chinese subjects.",Y Cui; Y Song; J Wang; Z Yu; A Schuster; YC Barrett; C Frost,2013,apixaban; factor Xa inhibitor; oral anticoagulant; pharmacodynamics; pharmacokinetics,0.9963802695274353,PMC3861362,PK - Table 2 | Study Population - Table 1
17,34366151,Pharmacokinetics of Direct Oral Anticoagulants in Patients With Atrial Fibrillation and Extreme Obesity.,V Russo; D Cattaneo; L Giannetti; R Bottino; N Laezza; U Atripaldi; E Clementi,2021,DOACs; atrial fibrillation; obesity; pharmacokinetics,0.9962490200996399,,
18,26358690,"Effect of renal impairment on the pharmacokinetics, pharmacodynamics, and safety of apixaban.",M Chang; Z Yu; A Shenker; J Wang; J Pursley; W Byon; RA Boyd; F LaCreta; CE Frost,2016,anticoagulant; apixaban; pharmacodynamics; pharmacokinetics; renal impairment,0.9958076477050781,,
19,28302754,Apixaban Pharmacokinetics at Steady State in Hemodialysis Patients.,TA Mavrakanas; CF Samer; SJ Nessim; G Frisch; ML Lipman,2017,apixaban; atrial fibrillation; hemodialysis; pharmacokinetics,0.9955952763557434,PMC5491286,
20,23637566,"Effect of famotidine on the pharmacokinetics of apixaban, an oral direct factor Xa inhibitor.",VV Upreti; Y Song; J Wang; W Byon; RA Boyd; JM Pursley; F Lacreta; CE Frost,2013,H2-receptor antagonists; apixaban; drug–drug interaction; factor Xa inhibitor; famotidine; hOCT inhibitor,0.9949427247047424,PMC3637032,PK - Table 2 | Study Population - Table 1
21,23451769,"Safety, pharmacokinetics and pharmacodynamics of multiple oral doses of apixaban, a factor Xa inhibitor, in healthy subjects.",C Frost; S Nepal; J Wang; A Schuster; W Byon; RA Boyd; Z Yu; A Shenker; YC Barrett; R Mosqueda-Garcia; F Lacreta,2013,anticoagulant/thrombolytic drugs; apixaban; cardiovascular pharmacology; coagulation/fibrinolysis; pharmacokinetics,0.9945290684700012,PMC3853536,
22,31030414,The Effects of Clarithromycin on the Pharmacokinetics of Apixaban in Healthy Volunteers: A Single-Sequence Crossover Study.,S Garonzik; W Byon; E Myers; X Li; D Marchisin; B Murthy,2019,,0.9932523369789124,PMC6885504,
23,24697979,Evaluation of the effect of naproxen on the pharmacokinetics and pharmacodynamics of apixaban.,C Frost; A Shenker; MD Gandhi; J Pursley; YC Barrett; J Wang; D Zhang; W Byon; RA Boyd; F LaCreta,2014,P-glycoprotein; anticoagulant; apixaban; clinical pharmacology; factor Xa; naproxen drug interaction,0.9916841983795166,PMC4239981,
24,30216091,"Pharmacokinetics of anticoagulants apixaban, dabigatran, edoxaban and rivaroxaban in elderly Japanese patients with atrial fibrillation treated in one general hospital.",M Yamazaki-Nishioka; M Kogiku; M Noda; S Endo; M Takekawa; H Kishi; M Ota; Y Notsu; M Shimizu; H Yamazaki,2019,Anticoagulants; insufficient dose; overdose; pharmacokinetic modeling; renal impairment,0.9907519817352295,,
