study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	ci	mean_sd	mean_se	comments	mean_unit	value_unit
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	0.5	hr		980.0	1380.0	400.0	577.230025458406			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	1.0	hr		970.0	1230.0	260.0	375.199516547964			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	1.5	hr		950.0	1230.0	280.0	404.061017820884			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	2.0	hr		840.0	1110.0	270.0	389.630267184424			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	2.5	hr		760.0	970.0	210.0	303.045763365663			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	3.0	hr		760.0	1000.0	240.0	346.338015275044			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	4.0	hr		660.0	900.0	240.0	346.338015275044			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	6.0	hr		280.0	400.0	120.0	173.169007637522			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	8.0	hr		200.0	300.0	100.0	144.307506364602			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	23.0	hr		50.0	90.0	40.0	57.7230025458406			pg/ml	pg/ml
Rohr2024		all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	24.0	hr		40.0	60.0	20.0	28.8615012729203			pg/ml	pg/ml
