study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	sd	se	unit	comments
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	0.0	hr	0.0	NA	NA	NA	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	0.5	hr	103.6866359447	115.586036401853	11.899400457153	2.8047155851024	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	1.0	hr	230.414746543779	244.186810299527	13.7720637557483	3.24610655754103	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	1.5	hr	299.539170506912	NA	NA	NA	ng/ml	SD NR
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	2.0	hr	329.493087557604	345.321979649357	15.8288920917539	3.7309056455831	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	2.5	hr	345.622119815668	517.281326135767	171.659206320098	40.4604629473473	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	3.0	hr	352.534562211982	407.874275896901	55.3397136849198	13.0436956051763	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	4.0	hr	361.751152073733	475.308125925572	113.556973851839	26.7656354205529	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	6.0	hr	262.672811059908	409.10419484223	146.431383782322	34.5142081503366	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	6.5	hr	237.327188940092	319.167104571729	81.8399156316367	19.2898531049551	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	8.0	hr	186.635944700461	258.425691491903	71.789746791442	16.9210055919646	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	10.0	hr	152.073732718894	203.449696651221	51.3759639323266	12.1094308288479	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	12.0	hr	103.6866359447	144.144413127598	40.4577771828971	9.53598953258697	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	18.0	hr	61.5280634513819	77.4882959919744	15.9602325405925	3.76186288625572	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	24.0	hr	48.3063136957879	59.9681125495629	11.661798853775	2.7487123501126	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	36.0	hr	15.9652288793014	24.5852794458473	8.6200505665459	2.03176540325852	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	48.0	hr	10.3251992475607	16.6819226330603	6.3567233854996	1.49829407067129	ng/ml	NA
Wang2014	NA	all	18.0	API20	concentration	apixaban	plasma	HPLC MS/MS	API20_all_apixaban	72.0	hr	4.86983591515317	7.14770576794182	2.27786985278864	0.536899073189083	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	0.0	hr	0.0	NA	NA	NA	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	0.5	hr	118.181818181818	126.074498567335	7.892680385517	2.10940756185111	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	1.0	hr	254.545454545455	376.790830945559	122.245376400104	32.6714511147436	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	1.5	hr	340.909090909091	NA	NA	NA	ng/ml	SD NR
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	2.0	hr	372.146118721461	NA	NA	NA	ng/ml	SD NR
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	2.5	hr	359.74298953805	491.251851144127	131.508861606076	35.147221675329	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	3.0	hr	302.272727272727	310.888252148997	8.61552487626977	2.30259587815925	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	4.0	hr	229.545454545454	290.768556160861	61.2231016154064	16.3625621714641	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	6.0	hr	131.818181818182	151.267549107773	19.4493672895914	5.19806205622708	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	6.5	hr	118.181818181818	125.388885998618	7.2070678167994	1.92616989526487	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	8.0	hr	84.0909090909091	116.405157347937	32.3142482570283	8.63634612063978	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	10.0	hr	56.8181818181819	84.8827506275756	28.0645688093937	7.50057151373525	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	12.0	hr	34.0909090909091	48.6870201197796	14.5961110288705	3.90097476066756	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	18.0	hr	14.9452863735897	22.4699394848942	7.52465311130455	2.01104813548744	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	24.0	hr	8.59134601361011	12.311100656915	3.71975464330484	0.994146245579159	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	36.0	hr	2.51812617505508	2.0784718839234	0.439654291131672	0.117502551859977	ng/ml	NA
Wang2014	NA	all	14.0	API20, AC50_2hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_2hr_all_apixaban	48.0	hr	1.6681372270372	1.37697830462993	0.291158922407267	0.0778154951964494	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	0.0	hr	0.0	NA	NA	NA	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	0.5	hr	118.181818181818	125.704629054603	7.52281087278448	1.82454963706091	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	1.0	hr	220.454545454545	231.178044236373	10.7234987818278	2.60083047962696	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	1.5	hr	297.727272727273	326.550781063393	28.82350833612	6.99072761004082	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	2.0	hr	338.636363636364	463.82207519228	125.185711555917	30.3619947978324	ng/ml	NA
