study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Wang2014	all	18	NA	species	18	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Wang2014	all	18	NA	healthy	18	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Wang2014	all	18	NA	age	18	NA	NA	31.8	NA	8.3	NA	18.0	45.0	yr	NA
Wang2014	all	18	NA	sex	8	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Wang2014	all	18	NA	ethnicity	14	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Wang2014	all	18	NA	ethnicity	4	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Wang2014	all	18	NA	height	18	NA	NA	169.4	NA	14.6	NA	147.3	198.5	cm	NA
Wang2014	all	18	NA	weight	18	NA	NA	72.2	NA	18.6	NA	51.4	111.1	kg	NA
Wang2014	all	18	NA	bmi	18	NA	NA	24.7	NA	2.7	NA	20.8	29.2	kg/m^2	NA
Wang2014	all	18	NA	fasting	18	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
