study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	0.0	hr		0.00023649732796840264	107.250274636952	3.0908543297693365e-06	8.922527896591209e-07		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	0.5	hr		0.00035998644578748426	165.413771839349	0.0	0.0		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	1.0	hr		0.0005064486833678129	232.71848508103	1.1567080565821328e-08	3.339128539207399e-09		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	2.0	hr		0.0006247565921654908	294.722387129351	1.6641421173684438e-05	4.803964497162329e-06		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	3.0	hr		0.000703027337119173	331.645792315336	1.87262914234516e-05	5.405814697126573e-06		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	4.0	hr		0.0006846774377700414	314.609282655334	0.0	0.0		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	6.0	hr		0.0005620384961316454	261.676618989249	7.4427203846745814e-06	2.148528308797495e-06		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	9.0	hr		0.00035474652858236345	160.879329648254	4.628292133497302e-06	1.3360728545814494e-06		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	12.0	hr		0.0002553315408569206	117.322163433579	5.831534659414582e-09	1.6834190527007617e-09		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	18.0	hr		0.00013054307233822265	59.9845417394133	0.0	0.0		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	24.0	hr		0.0001070819985325839	49.8534808515668	1.413063168323171e-06	4.0791620030666383e-07		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	36.0	hr		3.1919010210299454e-05	14.6664502159147	7.290004742106637e-10	2.1044431001248706e-10		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	48.0	hr		1.740723765853236e-05	7.89426956966638	2.2710801834437216e-07	6.556043776312317e-08		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	60.0	hr		9.12703661073976e-06	4.19387332263492	0.0	0.0		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10M	concentration	apixaban	plasma	LC MS/MS	apixaban_API10M	72.0	hr		8.306800430214842e-06	3.76726169170021	1.0818956688467921e-07	3.123163778218934e-08		mole/meter^3	ng/ml
