study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Jeong2019	API10	0	NA	hr	oral	single dose	dosing	tablet	apixaban	10	mg	NA
Jeong2019	ROS20	0	NA	hr	oral	single dose	dosing	tablet	rosuvastatin	20	mg	NA
Jeong2019	LAP250	0	NA	hr	oral	single dose	dosing	tablet	lapatinib	250	mg	NA
