study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	geomean	median	min	max	sd	se	cv	unit	comments
Jeong2019	all	23.0	API10	cmax	apixaban	plasma	HPLC MS	NA	NA	NA	371.57	NA	NA	NA	NA	95.23	NA	NA	ng/ml	NA
Jeong2019	all	23.0	API10	tmax	apixaban	plasma	HPLC MS	NA	NA	NA	NA	NA	4.0	1.0	4.0	NA	NA	NA	hr	NA
Jeong2019	all	16.0	API10, ROS20	cmax	apixaban	plasma	HPLC MS	NA	NA	NA	347.65	NA	NA	NA	NA	73.63	NA	NA	ng/ml	NA
Jeong2019	all	16.0	API10, ROS20	tmax	apixaban	plasma	HPLC MS	NA	NA	NA	NA	NA	3.0	2.0	4.0	NA	NA	NA	hr	NA
Jeong2019	all	7.0	API10, LAP250	cmax	apixaban	plasma	HPLC MS	NA	NA	NA	529.01	NA	NA	NA	NA	162.83	NA	NA	ng/ml	NA
Jeong2019	all	7.0	API10, LAP250	tmax	apixaban	plasma	HPLC MS	NA	NA	NA	NA	NA	3.0	1.0	6.0	NA	NA	NA	hr	NA
