gid	gname	uid	name	N	mean	median	std	cv	min	q005	q095	max	U	symbol	classification	unit
control	Control	[Cve_api]_aucinf	API AUC∞	1000	0.00031026369341810947	0.0002290043237894389	0.0004957589729216571	1.5978633125261463	0.00010361853462827375	0.00013130264007600413	0.0006489615061093803	0.01344282135038519	3.2206343059130353	<***>	high	mM*min
control	Control	[Cve_api]_cmax	API Cmax	1000	5.897687018496176e-07	4.355786406321163e-07	1.0341147419688452e-06	1.7534242470407142	7.89446663094846e-08	2.2403530228287196e-07	1.2519995131897206e-06	2.8353490546548946e-05	3.329111208169412	<***>	high	mM
control	Control	[Cve_api]_thalf	API Half-life	1000	284.3928843912751	279.592241524198	38.975434394568055	0.13704785363386462	241.25137871045047	244.45478582362563	323.8702107386177	710.1204057103839	0.29851163325884833	<*>	low	min
control	Control	[Cve_api]_vd	API Vd	1000	19805.542051954068	19270.266021560266	8833.357210198374	0.4460043147027552	282.61095982628507	6621.613408998249	35099.65263654398	70780.48748676026	1.715531349914101	<**>	medium	l
control	Control	[Cve_api]_cl	API CL	1000	0.04823146234459368	0.04751610585964362	0.02012984789420019	0.41735926956518177	0.0008094575189730498	0.016767691757018834	0.08287261387086152	0.10501396161716807	1.5716939849677865	<**>	medium	mole/min/mM
control	Control	[Cve_api]_kel	API kel	1000	0.002470806111449157	0.002479136005433261	0.0002593746531991937	0.10497572108038353	0.0009760981024993092	0.002140200483842942	0.0028354821454005226	0.0028731325154077543	0.2943590092812519	<*>	low	1/min
control	Control	[Cve_m1]_aucinf	M1 AUC∞	1000	0.8906662072568394	0.8607852238405063	0.4508156922503228	0.5061556041727336	0.0029765378052312354	0.17897223422639583	1.6785962359759454	2.2815846460731577	1.9926585154680527	<**>	medium	mM*min
control	Control	[Cve_m1]_cmax	M1 Cmax	1000	0.0010472519480829421	0.0010337285197475868	0.0005220067229337517	0.49845380940977624	3.3312256235803762e-06	0.00021286184022454847	0.0019433237567470466	0.0025679757120984493	1.9212104540327255	<**>	medium	mmole/l
control	Control	[Cve_m1]_thalf	M1 Half-life	1000	287.06151752980765	282.87342769785363	35.48636959952518	0.12361938968653428	243.8974618202032	248.0429866835114	326.64622840748086	719.9198332128332	0.2933955607571973	<*>	low	min
control	Control	[Cve_m7]_aucinf	M7 AUC∞	1000	0.9004118869334283	0.8658170400895048	0.4611053876803772	0.5121049537126656	0.004937922101926634	0.13355601290558386	1.7092739493477627	2.322105530753395	2.159909633579521	<***>	high	mM*min
control	Control	[Cve_m7]_cmax	M7 Cmax	1000	0.0010610386157592058	0.0010287324564249977	0.0005371504016053052	0.5062496252513463	5.700752232176466e-06	0.00016310667971636646	0.0020193516869147937	0.002735794464235468	2.0514326918070904	<***>	high	mmole/l
control	Control	[Cve_m7]_thalf	M7 Half-life	1000	287.0666791957368	283.2524641442568	35.45787346555631	0.1235179003181324	244.4918270472027	248.4118628897659	327.3323442095136	715.5552362099003	0.29403650444257595	<*>	low	min
control	Control	PT_max	max PT	1000	12.507376737684524	12.505408352605803	0.012885271891336118	0.001030213781960609	12.50087612761438	12.502528820880643	12.51527547253082	12.8512921046352	0.0014969696794551843	<*>	low	s
control	Control	mPT_max	max mPT	1000	53.51508312738994	53.425696863037516	0.5313750738707348	0.009929444986674568	53.4003261824406	53.40252015625699	53.74680077110529	64.14202190694012	0.014325791992014777	<*>	low	s
control	Control	aPTT_max	max aPTT	1000	28.458733289366563	28.413389690651776	0.3331141487152006	0.011705164292736344	28.400113783129758	28.401383530659103	28.555610916096207	35.94370246829071	0.00961153142431532	<*>	low	s
control	Control	INR_max	max INR	1000	1.0926208330134395	1.0905275679776842	0.021100434195472844	0.019311762651713325	1.0900046726636472	1.090056552001156	1.0968733590638513	1.5484984057627547	0.009656065188902887	<*>	low	dimensionless
control	Control	Xa_inhibition_max	max Xa inhibition	1000	0.2938205193248432	0.20795055822418296	0.6327215493255494	2.153428735268222	0.0003012294460586253	0.02137690867477151	0.756353762090475	17.958638426225722	4.601550454773937	<***>	high	dimensionless
