, 	Person	PubMed	dose route	substance	dosing	dose [mg]	combination	healthy	age	renal impairment	hepatic impairment	obesity	Chronic Heart Failure	NAFLD	hypertension	fed	fasted	Pharmacokinetics	plasma/serum apixaban	urine data apixaban	feces data apixaban	bile data apixaban	plasma/serum apixaban metabolites	urine data apixaban metabolites	feces data apixaban metabolites	bile data apixaban	Pharmacodynamics	(anti-)FXa activity	Activated partial thromboplastin (aPTT)	(modified) prothrombin time (mPT)	INR	thrombine generation	Priority	Github	PK-DB identifier	Curation status	Information in Google Docs	Available via repository	upload	simulation	Parameter fitting	Comments
study	person	pmid	route	substance	dosing	dose	combination	healthy	elderly	renal impairment	hepatic impairment	obesity	HF	NAFLD	hypertension	fed	fasted	pk	api plasma	api urine	api feces	api bile	apimet plasma	apimet urine	apimet feces	apimet bile	pd	FXa	aPTT	mPT	INR	thrombin	priority	github	pkdb	status	docs	repo	upload	simulation	fitting	comments
Frost2015a	Michelle Elias	25377242	oral	apixaban	single	10	ketoconazole, diltiazem	TRUE									TRUE	TRUE	TRUE														high	#2048		finished	TRUE	TRUE	TRUE	TRUE	TRUE	
Frost2015b	Mariia Myshkina	25501868	oral	apixaban	multi	10 (QID), 50 (QID)		TRUE								?	?	TRUE	TRUE				TRUE				TRUE						high	#2039	PKDB01150	finished	TRUE	TRUE	TRUE	TRUE	TRUE	
Frost2017	Mariia Babaeva	28260951	oral	apixaban	single	10	atenolol, digoxin	TRUE									TRUE	TRUE	TRUE	TRUE													high	#2057	PKDB01158	finished	TRUE	TRUE	TRUE	TRUE	TRUE	
Frost2018	Michelle Elias	30498375	oral	apixaban	single	2.5, 10, 25, 50		TRUE									TRUE	TRUE	TRUE	TRUE							TRUE		TRUE	TRUE	TRUE		high	#1996	PKDB01151	finished	TRUE	TRUE		TRUE	TRUE	inr (change relative), coagulation assay, etc.
Frost2021	Mariia Myshkina	34342172	iv, oral	apixaban	single	IV: 0.5, 1.25, 2.5, 3.75, 5.0 OD: 5		TRUE									TRUE	TRUE	TRUE	TRUE							TRUE	TRUE		TRUE	TRUE		high	#1994	PKDB01152	finished	TRUE	TRUE	TRUE	TRUE	TRUE	
Frost2021a	Chang Linh Nguyen	34363188	oral	apixaban	single	5		TRUE			TRUE						TRUE	TRUE	TRUE	TRUE													high	#2000	PKDB01143	finished	TRUE	TRUE	TRUE	TRUE	TRUE	
Garonzik2019	Shelee Bedon	31030414	oral	apixaban	single	10	clarithromycin	TRUE									TRUE	TRUE	TRUE														high	#2051		finished	TRUE	TRUE	TRUE	TRUE	TRUE	
Jeong2019	Michelle Elias	32055579	oral	apixaban	single	10	rosuvastatin, lapatinib	TRUE								?	?	TRUE	TRUE														high	#2049		finished	TRUE	TRUE	TRUE	TRUE	TRUE	
Kreutz2017	Mariia Myshkina	28805299	oral	apixaban	multi	5 (BID)		TRUE								TRUE		TRUE	TRUE								TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	high	#2002	PKDB01097	finished	TRUE	TRUE	TRUE	TRUE	TRUE	
Lenard2024	Mariia Babaeva	36870039	oral	apixaban, edoxaban, rivaroxaban	single	0.05	clarithromycin	TRUE								?	?	TRUE	TRUE								TRUE		TRUE		TRUE		high	#2008	PKDB01099	finished	TRUE	TRUE	TRUE	TRUE	TRUE	edoxaban studies
