study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Parasrampuria2015a	all	10.0	ED15	cmax	edoxaban-M4	plasma	LC MS/MS	48.0	hr	9.8	NA	NA	NA	NA	7.05	NA	ng/ml	NA
Parasrampuria2015a	all	10.0	ED15	tmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	NA	NA	2.1	2.0	12.0	NA	NA	hr	NA
Parasrampuria2015a	all	10.0	ED15	auc_inf	edoxaban-M4	plasma	LC MS/MS	NA	NA	193.3	NA	NA	NA	NA	255.48	NA	ng*hr/ml	NA
Parasrampuria2015a	all	10.0	ED15	thalf	edoxaban-M4	plasma	LC MS/MS	NA	NA	13.0	NA	NA	NA	NA	4.95	NA	hr	NA
Parasrampuria2015a	all	9.0	ED15	cmax	edoxaban-M4	plasma	LC MS/MS	48.0	hr	10.2	NA	NA	NA	NA	4.98	NA	ng/ml	NA
Parasrampuria2015a	all	9.0	ED15	tmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	NA	NA	4.0	2.0	8.0	NA	NA	hr	NA
Parasrampuria2015a	all	9.0	ED15	auc_inf	edoxaban-M4	plasma	LC MS/MS	NA	NA	151.9	NA	NA	NA	NA	101.83	NA	ng*hr/ml	NA
Parasrampuria2015a	all	9.0	ED15	thalf	edoxaban-M4	plasma	LC MS/MS	NA	NA	11.3	NA	NA	NA	NA	3.78	NA	hr	NA
Parasrampuria2015a	all	10.0	ED15	cmax	edoxaban-M1	plasma	LC MS/MS	48.0	hr	7.6	NA	NA	NA	NA	4.2	NA	ng/ml	NA
Parasrampuria2015a	all	10.0	ED15	tmax	edoxaban-M1	plasma	LC MS/MS	NA	NA	NA	NA	12.0	2.0	36.0	NA	NA	hr	NA
Parasrampuria2015a	all	10.0	ED15	auc_inf	edoxaban-M1	plasma	LC MS/MS	NA	NA	176.8	NA	NA	NA	NA	56.07	NA	ng*hr/ml	NA
Parasrampuria2015a	all	10.0	ED15	thalf	edoxaban-M1	plasma	LC MS/MS	NA	NA	14.4	NA	NA	NA	NA	1.46	NA	hr	NA
Parasrampuria2015a	all	9.0	ED15	cmax	edoxaban-M1	plasma	LC MS/MS	48.0	hr	10.6	NA	NA	NA	NA	4.45	NA	ng/ml	NA
Parasrampuria2015a	all	9.0	ED15	tmax	edoxaban-M1	plasma	LC MS/MS	NA	NA	NA	NA	8.0	6.0	24.1	NA	NA	hr	NA
Parasrampuria2015a	all	9.0	ED15	auc_inf	edoxaban-M1	plasma	LC MS/MS	NA	NA	250.6	NA	NA	NA	NA	67.48	NA	ng*hr/ml	NA
Parasrampuria2015a	all	9.0	ED15	thalf	edoxaban-M1	plasma	LC MS/MS	NA	NA	11.5	NA	NA	NA	NA	0.45	NA	hr	NA
Parasrampuria2015a	all	10.0	ED15	cmax	edoxaban-M6	plasma	LC MS/MS	48.0	hr	2.0	NA	NA	NA	NA	1.0	NA	ng/ml	NA
Parasrampuria2015a	all	10.0	ED15	tmax	edoxaban-M6	plasma	LC MS/MS	NA	NA	NA	NA	2.3	2.0	12.0	NA	NA	hr	NA
Parasrampuria2015a	all	10.0	ED15	auc_inf	edoxaban-M6	plasma	LC MS/MS	NA	NA	35.0	NA	NA	NA	NA	9.9	NA	ng*hr/ml	NA
Parasrampuria2015a	all	10.0	ED15	thalf	edoxaban-M6	plasma	LC MS/MS	NA	NA	13.2	NA	NA	NA	NA	2.05	NA	hr	NA
Parasrampuria2015a	all	9.0	ED15	cmax	edoxaban-M6	plasma	LC MS/MS	48.0	hr	2.3	NA	NA	NA	NA	1.33	NA	ng/ml	NA
Parasrampuria2015a	all	9.0	ED15	tmax	edoxaban-M6	plasma	LC MS/MS	NA	NA	NA	NA	5.0	2.0	6.0	NA	NA	hr	NA
Parasrampuria2015a	all	9.0	ED15	auc_inf	edoxaban-M6	plasma	LC MS/MS	NA	NA	42.4	NA	NA	NA	NA	13.91	NA	ng*hr/ml	NA
Parasrampuria2015a	all	9.0	ED15	thalf	edoxaban-M6	plasma	LC MS/MS	NA	NA	13.1	NA	NA	NA	NA	2.45	NA	hr	NA
