study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Parasrampuria2015a	all	10.0	ED15	cmax	edoxaban	plasma	LC MS/MS	48.0	hr	53.3	NA	NA	NA	NA	15.14	NA	ng/ml	NA
Parasrampuria2015a	all	10.0	ED15	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	2.3	1.0	5.0	NA	NA	hr	NA
Parasrampuria2015a	all	10.0	ED15	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	676.2	NA	NA	NA	NA	220.86	NA	ng*hr/ml	NA
Parasrampuria2015a	all	10.0	ED15	thalf	edoxaban	plasma	LC MS/MS	NA	NA	10.6	NA	NA	NA	NA	3.13	NA	hr	NA
Parasrampuria2015a	all	10.0	ED15	 clearance	edoxaban	urine	LC MS/MS	NA	NA	24.1	NA	NA	NA	NA	7.07	NA	l/hr	NA
Parasrampuria2015a	all	9.0	ED15	cmax	edoxaban	plasma	LC MS/MS	48.0	hr	56.3	NA	NA	NA	NA	23.25	NA	ng/ml	NA
Parasrampuria2015a	all	9.0	ED15	tmax	edoxaban	plasma	LC MS/MS	NA	NA	NA	NA	2.0	1.0	5.0	NA	NA	hr	NA
Parasrampuria2015a	all	9.0	ED15	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	691.7	NA	NA	NA	NA	149.84	NA	ng*hr/ml	NA
Parasrampuria2015a	all	9.0	ED15	thalf	edoxaban	plasma	LC MS/MS	NA	NA	10.4	NA	NA	NA	NA	2.72	NA	hr	NA
Parasrampuria2015a	all	9.0	ED15	 clearance	edoxaban	urine	LC MS/MS	NA	NA	22.5	NA	NA	NA	NA	4.5	NA	l/hr	NA
