study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	label	mean	geomean	median	min	max	mean_sd	geosd	mean_se	cv	comments	mean_unit	median_unit
Frost2021a	moderate	8.0	API5	cumulative amount	apixaban	urine	calculated	0.0	hr	cumulative amount_moderate	0.0	0.0									mole	mg
Frost2021a	moderate	8.0	API5	cumulative amount	apixaban	urine	calculated	72.0	hr	cumulative amount_moderate	1.3600870511425462e-06	0.62496								l/hr * ng * hr / ml = ml * 1000 /hr * ng * hr / ml = mg	mole	mg
