study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	0.0	hr						linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	1.0	hr		0.00016420961915125136	121.60816	0.00010044361262241567	2.511090315560392e-05	linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	2.0	hr		0.00022733603917301416	140.55558	7.855205658324266e-05	1.9638014145810666e-05	linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	2.5	hr		0.0002337890533188248	137.01318	6.438979325353646e-05	1.6097448313384116e-05	linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	3.0	hr		0.0002363788465723613	135.8337	5.9233122959738854e-05	1.4808280739934713e-05	linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	3.5	hr		0.00023059690968443963	136.72786	6.696100108813927e-05	1.674025027203482e-05	linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	4.0	hr		0.00022868250272034822	131.70419	5.7942502720348215e-05	1.4485625680087054e-05	linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	6.0	hr		0.00015919188248095757	100.66346	5.987984766050055e-05	1.4969961915125137e-05	linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	8.0	hr		0.00011289057671381939	72.28676	4.442554951033733e-05	1.1106387377584332e-05	linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	12.0	hr		6.019784548422198e-05	40.97518	2.8975560391730144e-05	7.243890097932536e-06	linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	16.0	hr		3.648642002176279e-05	25.63927	1.9311773667029383e-05	4.827943416757346e-06	linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	24.0	hr		1.931249183895539e-05	16.86226	1.7384483133841132e-05	4.346120783460283e-06	linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	30.0	hr		1.2387508161044614e-05	8.6513	6.4401305767138196e-06	1.6100326441784549e-06	linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	36.0	hr		7.402698585418933e-06	8.72633	1.1588226332970621e-05	2.8970565832426554e-06	linear	mole/meter^3	ng/ml
Frost2021a	healthy	16.0	API5	concentration	apixaban	plasma	HPLC MS/MS	apixaban_healthy	48.0	hr		3.860348204570185e-06	5.32413	7.726441784548423e-06	1.9316104461371057e-06	linear	mole/meter^3	ng/ml
