study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	label	mean	geomean	median	min	max	mean_sd	geosd	mean_se	cv	comments	mean_unit	median_unit
Frost2021a	healthy	16.0	API5	cumulative amount	apixaban	urine	calculated	0.0	hr	cumulative amount_healthy	0.0	0.0									mole	mg
Frost2021a	healthy	16.0	API5	cumulative amount	apixaban	urine	calculated	72.0	hr	cumulative amount_healthy	1.310968443960827e-06	0.60239					1.82			l/hr * ng * hr / ml = ml * 1000 /hr * ng * hr / ml = mg	mole	mg
