study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	ci	sd	se	unit	comments
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	0.0	hr	NA	0.0	NA	NA	NA	NA	pg/ml	baseline = no retinovir, single dose of API or EDO or RIV
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	0.5	hr	NA	470.27	372.97	97.3	140.411203692757	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	1.0	hr	NA	616.22	510.81	105.41	152.114542458927	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	1.5	hr	NA	632.43	518.92	113.51	163.803450474459	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	2.0	hr	NA	624.32	518.92	105.4	152.10011170829	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	2.5	hr	NA	632.43	535.14	97.29	140.396772942121	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	3.0	hr	NA	632.43	535.14	97.29	140.396772942121	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	4.0	hr	NA	591.89	502.7	89.19	128.707864926588	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	6.0	hr	NA	364.86	300.0	64.86	93.5978486280806	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	8.0	hr	NA	267.57	227.03	40.54	58.5022630802095	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	23.0	hr	NA	64.86	NA	NA	NA	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50	24.0	hr	NA	48.65	NA	NA	NA	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	0.0	hr	NA	0.0	NA	NA	NA	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	0.5	hr	NA	672.97	997.3	324.33	468.032535392312	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	1.0	hr	NA	827.03	981.08	154.05	222.305713554669	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	1.5	hr	NA	802.7	997.3	194.6	280.822407385514	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	2.0	hr	NA	802.7	956.76	154.06	222.320144305305	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	2.5	hr	NA	802.7	981.08	178.38	257.415729853176	NA	pg/ml	NA
