output	control	mildRI	modRI	sevRI	CPT A	CPT B	CPT C	unit
API AUC∞	5.74e-05 (84.9)	6.26e-05 (122.8)	6.58e-05 (127.1)	7.08e-05 (134.5)	0.00225 (21.5)	0.00501 (27.6)	0.00662 (36.3)	mM*min
API Cmax	1.07e-07 (78.9)	1.19e-07 (131.8)	1.25e-07 (136.3)	1.32e-07 (131.0)	4.17e-06 (26.0)	9.11e-06 (31.3)	1.19e-05 (36.6)	mM
API Half-life	285 (14.3)	284 (14.7)	284 (13.9)	284 (13.5)	285 (14.4)	284 (13.7)	285 (14.7)	min
API Vd	1.02e+05 (46.3)	9.82e+04 (47.8)	9.48e+04 (45.1)	8.96e+04 (45.5)	2.07e+03 (23.4)	937 (24.1)	722 (26.2)	l
API CL	0.248 (41.8)	0.239 (42.3)	0.231 (42.6)	0.219 (43.0)	0.00503 (18.4)	0.00228 (20.3)	0.00176 (21.4)	mole/min/mM
API kel	0.00247 (10.6)	0.00247 (10.6)	0.00247 (10.5)	0.00247 (10.4)	0.00247 (10.6)	0.00247 (10.5)	0.00247 (10.7)	1/min
M1 AUC∞	0.174 (51.9)	0.343 (52.6)	0.488 (51.4)	0.84 (50.4)	0.136 (51.1)	0.0883 (53.7)	0.0617 (56.6)	mM*min
M1 Cmax	0.000206 (52.1)	0.000302 (52.2)	0.000357 (50.4)	0.000443 (49.3)	0.000166 (51.6)	0.00011 (53.7)	7.76e-05 (56.4)	mmole/l
M1 Half-life	287 (12.8)	339 (12.4)	442 (12.9)	740 (13.6)	286 (13.3)	286 (13.0)	286 (13.9)	min
M7 AUC∞	0.175 (51.6)	0.343 (52.0)	0.487 (51.9)	0.839 (50.6)	0.136 (52.0)	0.0878 (51.3)	0.0616 (56.3)	mM*min
M7 Cmax	0.000206 (51.2)	0.000302 (51.3)	0.000355 (50.4)	0.000441 (49.3)	0.000166 (52.4)	0.000109 (51.6)	7.74e-05 (56.0)	mmole/l
M7 Half-life	287 (12.9)	339 (12.4)	442 (12.9)	740 (13.4)	286 (13.3)	286 (13.0)	286 (13.9)	min
max PT	12.5 (0.0)	12.5 (0.0)	12.5 (0.0)	12.5 (0.0)	12.6 (0.1)	12.6 (0.3)	12.6 (0.5)	s
max mPT	53.4 (0.2)	53.4 (0.2)	53.5 (1.6)	53.4 (0.4)	54.1 (4.4)	55.2 (17.6)	55.2 (10.0)	s
max aPTT	28.4 (0.3)	28.4 (0.3)	28.4 (1.1)	28.4 (0.3)	28.8 (7.2)	29.3 (15.3)	29.3 (8.9)	s
max INR	1 (0.3)	1 (0.8)	1 (0.3)	1 (0.2)	1.01 (6.2)	1.03 (10.2)	1.04 (16.7)	dimensionless
max Xa inhibition	0.0523 (93.2)	0.0587 (122.6)	0.0607 (143.8)	0.0664 (164.7)	2.07 (64.4)	4.58 (67.9)	5.94 (70.6)	dimensionless
