study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	geomean	median	min	max	sd	se	cv	unit	comments
Frost2013	fasted	23.0	API_10	INR	apixaban	plasma	coagulation assay	3.0	hr	1.33	NA	NA	NA	NA	0.2	NA	NA	dimensionless	oral tablet
Frost2013	fasted	23.0	API_10	INR (change)	apixaban	plasma	coagulation assay	3.0	hr	0.23	NA	NA	NA	NA	0.13	NA	NA	dimensionless	oral tablet
Frost2013	fasted	23.0	API_10	aPTT	apixaban	plasma	coagulation assay	3.0	hr	32.96	NA	NA	NA	NA	3.59	NA	NA	hr	oral tablet
Frost2013	fasted	23.0	API_10	aPTT (change)	apixaban	plasma	coagulation assay	3.0	hr	3.05	NA	NA	NA	NA	2.59	NA	NA	hr	oral tablet
Frost2013	fasted	23.0	API_10	PT	apixaban	plasma	coagulation assay	3.0	hr	14.99	NA	NA	NA	NA	1.24	NA	NA	hr	oral tablet
Frost2013	fasted	23.0	API_10	PT (change)	apixaban	plasma	coagulation assay	3.0	hr	1.39	NA	NA	NA	NA	0.89	NA	NA	hr	oral tablet
Frost2013	fed	22.0	API_10	INR	apixaban	plasma	coagulation assay	3.0	hr	1.28	NA	NA	NA	NA	0.15	NA	NA	dimensionless	oral tablet
Frost2013	fed	22.0	API_10	INR (change)	apixaban	plasma	coagulation assay	3.0	hr	0.2	NA	NA	NA	NA	0.12	NA	NA	dimensionless	oral tablet
Frost2013	fed	22.0	API_10	aPTT	apixaban	plasma	coagulation assay	3.0	hr	31.55	NA	NA	NA	NA	3.02	NA	NA	hr	oral tablet
Frost2013	fed	22.0	API_10	aPTT (change)	apixaban	plasma	coagulation assay	3.0	hr	2.9	NA	NA	NA	NA	2.21	NA	NA	hr	oral tablet
Frost2013	fed	22.0	API_10	PT	apixaban	plasma	coagulation assay	3.0	hr	14.66	NA	NA	NA	NA	0.97	NA	NA	hr	oral tablet
Frost2013	fed	22.0	API_10	PT (change)	apixaban	plasma	coagulation assay	3.0	hr	1.3	NA	NA	NA	NA	0.85	NA	NA	hr	oral tablet
