study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments	yraw
Frost2013	NA	single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	ng/ml	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	52.27272727272724	NA	NA	NA	percent	incorrect axes	85.2272727272727
Frost2013	NA	single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	ng/ml	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	31.818181818181714	NA	NA	NA	percent	NA	68.1818181818181
Frost2013	NA	single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	ng/ml	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	35.22727272727275	NA	NA	NA	percent	NA	71.0227272727273
Frost2013	NA	single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	ng/ml	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	35.22727272727275	NA	NA	NA	percent	NA	71.0227272727273
Frost2013	NA	single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	ng/ml	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	-19.31818181818184	NA	NA	NA	percent	NA	25.5681818181818
Frost2013	NA	single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	ng/ml	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	27.55681818181816	NA	NA	NA	percent	NA	64.6306818181818
Frost2013	NA	single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	ng/ml	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	38.636363636363555	NA	NA	NA	percent	NA	73.8636363636363
Frost2013	NA	single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	0.0	ng/ml	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	43.75	NA	NA	NA	percent	NA	78.125
Frost2013	NA	single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	1.13268608414239	ng/ml	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	-13.352272727272762	NA	NA	NA	percent	NA	30.5397727272727
Frost2013	NA	single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	2.26537216828479	ng/ml	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	-16.761363636363683	NA	NA	NA	percent	NA	27.6988636363636
Frost2013	NA	single dose	1.0	API	NR	NR	concentration	apixaban	plasma	LC MS/MS	apixaban_vs_mPT	2.26537216828479	ng/ml	mPT (change relative)	plasma	coagulation assay	mPT_vs_apixaban	1.9886363636363171	NA	NA	NA	percent	NA	43.3238636363636
