study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_sd	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments
Frost2021		group5	6.0	IV5	0.05	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_PT_mean	0.0009006845681266876	0.00029379324078888144	mole/meter^3	prothrombin time	plasma	coagulation assay	IV5_PT_vs_apixaban_mean	175.2		37.2		sec	
Frost2021		group5	6.0	IV5	0.166666666666667	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_PT_mean	0.0006328721969158086	7.067466188495103e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV5_PT_vs_apixaban_mean	133.109416445623		23.275862068965		sec	
Frost2021		group5	6.0	IV5	0.5	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_PT_mean	0.00047721122745344725	5.3291552879612625e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV5_PT_vs_apixaban_mean	125.35974801061		20.175397877984		sec	
Frost2021		group5	6.0	IV5	1.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_PT_mean	0.0003473598498464179	8.191321723280088e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV5_PT_vs_apixaban_mean	116.843169761273		20.172413793103		sec	
Frost2021		group5	6.0	IV5	2.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_PT_mean	0.00031246588417347114	2.284986187012187e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV5_PT_vs_apixaban_mean	100.582891246684		9.31034482758601		sec	
Frost2021		group5	6.0	IV5	3.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_PT_mean	0.0002911731104915539	4.414263555203917e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV5_PT_vs_apixaban_mean	107.598474801061		16.290119363395		sec	
Frost2021		group5	6.0	IV5	4.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_PT_mean	0.00025284163142849837	4.8790037030374324e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV5_PT_vs_apixaban_mean	102.194297082228		5.43700265251999		sec	
Frost2021		group5	6.0	IV5	6.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_PT_mean	0.00015981401684662112	3.08387972181086e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV5_PT_vs_apixaban_mean	91.4038461538461		15.5172413793099		sec	
Frost2021		group5	6.0	IV5	8.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_PT_mean	0.00011632788522481001	2.2447418155457018e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV5_PT_vs_apixaban_mean	82.1531830238726		6.98275862068969		sec	
Frost2021		group5	6.0	IV5	12.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_PT_mean	5.835928997187487e-05	1.364573093956605e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV5_PT_vs_apixaban_mean	67.5431034482758		10.0862068965517		sec	
Frost2021		group5	6.0	IV5	18.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_PT_mean	2.68487492515395e-05	5.137848098534495e-06	mole/meter^3	prothrombin time	plasma	coagulation assay	IV5_PT_vs_apixaban_mean	63.8517904509283		7.7645888594165		sec	
Frost2021		group5	6.0	IV5	24.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_PT_mean	1.634588705125541e-05	3.0950862335796955e-06	mole/meter^3	prothrombin time	plasma	coagulation assay	IV5_PT_vs_apixaban_mean	60.9482758620689		6.2009283819629		sec	
