study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_sd	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments
Frost2021		group2	6.0	IV1_25	0.05	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	0.0002274424748718085	6.373063561974537e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	102.6		13.9		sec	
Frost2021		group2	6.0	IV1_25	0.166666666666667	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	0.00016555432767531946	3.904045793632862e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	102.838859416445		1.55769230769199		sec	
Frost2021		group2	6.0	IV1_25	0.5	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	0.00012931855537293908	2.4676365071234824e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	85.7818302387268		2.3275862068965		sec	
Frost2021		group2	6.0	IV1_25	1.0	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	0.00010840080115436845	2.0684871831310775e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	78.8110079575597		1.551724137931		sec	
Frost2021		group2	6.0	IV1_25	2.0	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	0.0001248346574635184	3.070427789049815e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	78.0500663129973		2.3246021220159		sec	
Frost2021		group2	6.0	IV1_25	3.0	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	7.097811247770076e-05	1.3696418254255278e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	74.9794429708222		2.3335543766578		sec	
Frost2021		group2	6.0	IV1_25	4.0	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	6.614135761290948e-05	1.9666678484635256e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	74.2304376657824		2.33057029177729		sec	
Frost2021		group2	6.0	IV1_25	6.0	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	4.1806074340241786e-05	1.3449287864180414e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	69.6140583554376		1.55172413793099		sec	
Frost2021		group2	6.0	IV1_25	8.0	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	3.0430448552074866e-05	1.0505357804818718e-05	mole/meter^3	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	71.2314323607426		1.5457559681698		sec	
Frost2021		group2	6.0	IV1_25	12.0	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	1.5563978225704853e-05	6.396802486308531e-06	mole/meter^3	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	69.7393899204244		1.5547082228116		sec	
Frost2021		group2	6.0	IV1_25	18.0	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	5.399462130972666e-06	2.3294522616119697e-06	mole/meter^3	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	60.5603448275862		1.551724137931		sec	
Frost2021		group2	6.0	IV1_25	24.0	hr	concentration	apixaban	plasma	LC/MS	IV1_25_apixaban_plasma_vs_PT_mean	2.6658584735394776e-06	2.345012303279347e-06	mole/meter^3	prothrombin time	plasma	coagulation assay	IV1_25_PT_vs_apixaban_mean	60.7513262599469		1.551724137931		sec	
