study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_sd	x_unit	y_measurement_type	y_tissue	y_method	y_label	y	y_mean_pm	y_sd	y_se	y_unit	comments
Frost2021		group5	6.0	IV5	0.05	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_IU_mean	0.0009006845681266876	0.00029379324078888144	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_IU	6.99130434782608		0.678260869565221		IU/ml	
Frost2021		group5	6.0	IV5	0.166666666666667	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_IU_mean	0.0006328721969158086	7.067466188495103e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_IU	5.2695652173913		0.57391304347826		IU/ml	
Frost2021		group5	6.0	IV5	0.5	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_IU_mean	0.00047721122745344725	5.3291552879612625e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_IU	3.80869565217391		0.62608695652174		IU/ml	
Frost2021		group5	6.0	IV5	1.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_IU_mean	0.0003473598498464179	8.191321723280088e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_IU	3.13043478260869		0.62608695652174		IU/ml	
Frost2021		group5	6.0	IV5	2.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_IU_mean	0.00031246588417347114	2.284986187012187e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_IU	2.50434782608695		0.52173913043478		IU/ml	
Frost2021		group5	6.0	IV5	3.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_IU_mean	0.0002911731104915539	4.414263555203917e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_IU	2.08695652173913		0.10434782608696		IU/ml	
Frost2021		group5	6.0	IV5	4.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_IU_mean	0.00025284163142849837	4.8790037030374324e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_IU	1.77391304347826		0.10434782608696		IU/ml	
Frost2021		group5	6.0	IV5	6.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_IU_mean	0.00015981401684662112	3.08387972181086e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_IU	1.14782608695652		0.15652173913043		IU/ml	
Frost2021		group5	6.0	IV5	8.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_IU_mean	0.00011632788522481001	2.2447418155457018e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_IU	0.886956521739131		0.104347826086956		IU/ml	
Frost2021		group5	6.0	IV5	12.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_IU_mean	5.835928997187487e-05	1.364573093956605e-05	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_IU	0.365217391304348		0.156521739130435		IU/ml	
Frost2021		group5	6.0	IV5	18.0	hr	concentration	apixaban	plasma	LC/MS	IV5_apixaban_plasma_vs_Anti-factor Xa activity_IU_mean	2.68487492515395e-05	5.137848098534495e-06	mole/meter^3	Anti-factor Xa activity	plasma	coagulation assay	IV5_Anti-factor Xa activity_vs_apixaban_mean_IU	0.208695652173913		0.156521739130434		IU/ml	
