run	success	duration	cost	GU__APIABS_50	message	x	x0
6	True	5.840975046157837	524.5551311257846	35.59158816599089	`xtol` termination condition is satisfied.	[35.59158817]	[36.3445783]
5	True	9.801783800125122	525.1412639886498	23.695682384715113	`xtol` termination condition is satisfied.	[23.69568238]	[24.8279247]
2	True	7.835636377334595	525.4427618814967	24.177423048806396	`xtol` termination condition is satisfied.	[24.17742305]	[27.19947566]
4	True	8.604089975357056	525.7613504435556	28.951792300185314	`xtol` termination condition is satisfied.	[28.9517923]	[28.96115049]
8	True	7.563902378082275	526.0172801589431	22.334813675795864	`xtol` termination condition is satisfied.	[22.33481368]	[22.36461955]
1	True	5.878063678741455	526.5758815274045	26.940656114546606	`xtol` termination condition is satisfied.	[26.94065611]	[21.89775049]
0	True	6.4078528881073	526.60379892264	30.104314755494862	`xtol` termination condition is satisfied.	[30.10431476]	[30.15309361]
3	True	6.326752662658691	526.8874080268039	28.83573262507815	`xtol` termination condition is satisfied.	[28.83573263]	[36.06928869]
7	True	5.0635809898376465	527.131513809371	20.816159115524997	`xtol` termination condition is satisfied.	[20.81615912]	[21.77477606]
9	True	8.284538745880127	527.2049994723932	29.356647260936974	`xtol` termination condition is satisfied.	[29.35664726]	[32.61004937]
