study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Wolzt2011	placebo	0	NA	hr	oral	single dose	dosing	tablet	edoxaban	0.0	mg	NA
Wolzt2011	ED30	0	NA	hr	oral	single dose	dosing	tablet	edoxaban	30.0	mg	NA
Wolzt2011	ED60	0	NA	hr	oral	single dose	dosing	tablet	edoxaban	60.0	mg	NA
Wolzt2011	ED120	0	NA	hr	oral	single dose	dosing	tablet	edoxaban	120.0	mg	NA
Wolzt2011	FON	0	NA	hr	subcutaneous	single dose	dosing	solution	fondaparinux	2.5	mg	NA
