study	parameter	dose	dose_unit	substance	n	value	mean	sd	median	geometric_mean	Q1	Q3	min	max	unit
Abdollahizad2025	aucend_48	5	mg	apixaban	24		1310.6								ng/ml*hr
Abdollahizad2025	aucinf	5	mg	apixaban	24		1406.5								ng/ml*hr
Abdollahizad2025	cmax	5	mg	apixaban	24		157.6								ng/ml
Abdollahizad2025	tmax	5	mg	apixaban	24				2.5				1	3.5	hr
Abdollahizad2025	kel	5	mg	apixaban	24		0.075								1/hr
Abdollahizad2025	thalf	5	mg	apixaban	24		11.1								hr
#															
Abdollahizad2025	aucend_48	5	mg	apixaban	24		1284								ng/ml*hr
Abdollahizad2025	aucinf	5	mg	apixaban	24		1368.2								ng/ml*hr
Abdollahizad2025	cmax	5	mg	apixaban	24		157.4								ng/ml
Abdollahizad2025	tmax	5	mg	apixaban	24				2.5				1.5	4	hr
Abdollahizad2025	kel	5	mg	apixaban	24		0.072								1/hr
Abdollahizad2025	thalf	5	mg	apixaban	24		10.4								hr
#															
Bashir2018	cmax	10	mg	apixaban	12					179			147	219	ng/ml
Bashir2018	aucend_72	10	mg	apixaban	12					1684			1427	1987	ng*hr/ml
Bashir2018	aucinf	10	mg	apixaban	12					1875			1619	2172	ng*hr/ml
Bashir2018	tmax	10	mg	apixaban	12				2.5				1	4	hr
Bashir2018	thalf	10	mg	apixaban	12		12.1						5	23	hr
#															
Chang2016	cmax	10	mg	apixaban	8					224					ng/ml
Chang2016	tmax	10	mg	apixaban	8				2.8				2	4	hr
Chang2016	aucinf	10	mg	apixaban	8					2528					ng*hr/ml
Chang2016	thalf	10	mg	apixaban	8		15.1	7.6							hr
Chang2016	cl_renal	10	mg	apixaban	8					6.83					ml/min
#															
Cui2013	cmax	10	mg	apixaban	12			60.814		233.9					ng/ml
Cui2013	tmax	10	mg	apixaban	12				3				2	4	hr
Cui2013	aucend_72	10	mg	apixaban	12			0.61371		2.273					ng*hr/ml
Cui2013	aucinf	10	mg	apixaban	12			0.62316		2.308					ng*hr/ml
Cui2013	thalf	10	mg	apixaban	12			3.6		11.4					hr
Cui2013	clearance_renal	10	mg	apixaban	12			0.2		1.17					l/hr
#															
Frost2013	cmax	5	mg	apixaban	6					104.7					ng/ml
Frost2013	aucinf	5	mg	apixaban	6					1016.6					ng/ml*hr
Frost2013	aucend_96	5	mg	apixaban	6					976.6					ng/ml*hr
Frost2013	tmax	5	mg	apixaban	6				3.3						hr
