study	class	condition	parameter	dose	dose_unit	substance	n	mean	sd	geom_mean	median	Q1	Q3	min	max	unit
Chang2016	renal	normal	cmax	10	mg	apixaban	8			224						ng/ml
Chang2016	renal	normal	tmax	10	mg	apixaban					2.8			2	4	hr
Chang2016	renal	normal	aucinf	10	mg	apixaban				2528						ng*hr/ml
Chang2016	renal	normal	thalf	10	mg	apixaban		15.1	7.6							hr
Chang2016	renal	normal	cl_renal	10	mg	apixaban				6.83						ml/min
#																
Chang2016	renal	mild	cmax	10	mg	apixaban				229						ng/ml
Chang2016	renal	mild	tmax	10	mg	apixaban					4			1	6	hr
Chang2016	renal	mild	aucinf	10	mg	apixaban				3288						ng*hr/ml
Chang2016	renal	mild	thalf	10	mg	apixaban		14.6	7.3							hr
Chang2016	renal	mild	cl_renal	10	mg	apixaban				1.94						ml/min
#																
Chang2016	renal	moderate	cmax	10	mg	apixaban				288						ng/ml
Chang2016	renal	moderate	tmax	10	mg	apixaban				 	4			3	4	hr
Chang2016	renal	moderate	aucinf	10	mg	apixaban				4479						ng*hr/ml
Chang2016	renal	moderate	thalf	10	mg	apixaban		17.6	6							hr
Chang2016	renal	moderate	cl_renal	10	mg	apixaban				1.94						ml/min
#																
Chang2016	renal	severe	cmax	10	mg	apixaban				210						ng/ml
Chang2016	renal	severe	tmax	10	mg	apixaban					4			3	4	hr
Chang2016	renal	severe	aucinf	10	mg	apixaban				3221						ng*hr/ml
Chang2016	renal	severe	thalf	10	mg	apixaban		17.3	7.4							hr
Chang2016	renal	severe	cl_renal	10	mg	apixaban				1.94						ml/min
#																
Metze2021	renal	mild	cmax	5	mg	apixaban		109								ng/ml
#																
VandenBosch2021	renal	end_stage	aucend_48	2.5	mg	apixaban	6				2214.2			479	4411	ng*hr/ml
VandenBosch2021	renal	end_stage	cmax	2.5	mg	apixaban	6				127.5			45.4	210.4	ng/ml
VandenBosch2021	renal	end_stage	tmax	2.5	mg	apixaban	6				3.3			1	3.5	hr
#																
VandenBosch2021	renal	end_stage	aucend_48	5	mg	apixaban	6				3817.6			1243	5604	ng*hr/ml
VandenBosch2021	renal	end_stage	cmax	5	mg	apixaban	6				195.9			85.6	280.1	ng/ml
VandenBosch2021	renal	end_stage	tmax	5	mg	apixaban	6				2.8			1	4	hr
#																
Wang2016	renal	normal	cmax	5	mg	apixaban	8	126	36.54							ng/ml
Wang2016	renal	normal	aucinf	5	mg	apixaban	8	1265	379.5							ng/ml*hr
Wang2016	renal	normal	tmax	5	mg	apixaban	8				2			1	4	hr
Wang2016	renal	normal	thalf	5	mg	apixaban	8	20	14.45							hr
Wang2016	renal	normal	cl_renal	5	mg	apixaban	8	11.3	4.972							ml/min
#																
Wang2016	renal	end_stage	cmax	5	mg	apixaban	8	114	35.34							ng/ml
Wang2016	renal	end_stage	aucinf	5	mg	apixaban	8	1717	412.08							ng/ml*hr
Wang2016	renal	end_stage	tmax	5	mg	apixaban	8				2			2	6	hr
Wang2016	renal	end_stage	thalf	5	mg	apixaban	8	12.7	3.4							hr
Wang2016	renal	end_stage	cl_renal	5	mg	apixaban	8	0.02	0.016							ml/min
