study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	cv	median	min	max	mean_sd	mean_se	comments	mean_unit	median_unit
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	cumulative amount	apixaban	urine	HPLC MS/MS	apixaban_urine_API25, RIV25, EDO50, KET	0.0	hr	0.0								nmole	nmole
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	cumulative amount	apixaban	urine	HPLC MS/MS	apixaban_urine_API25, RIV25, EDO50, KET	24.0	hr	20.1305767138194					3.59198499248124			nmole	nmole
