run	success	duration	cost	GU__f_absorption	message	x	x0
6	True	0.8933990001678467	8.257352577911737	0.8859416042572498	`xtol` termination condition is satisfied.	[0.8859416]	[5.29030039]
0	True	0.8588559627532959	8.265069011888937	0.8857296623774181	`xtol` termination condition is satisfied.	[0.88572966]	[1.52972037]
5	True	0.8859083652496338	8.266247964794113	0.8879336187319999	`xtol` termination condition is satisfied.	[0.88793362]	[0.42065625]
2	True	0.7705743312835693	8.267057408376179	0.8796021850371221	`xtol` termination condition is satisfied.	[0.87960219]	[0.77118341]
9	True	0.8066556453704834	8.268486042104419	0.8851971265742813	`xtol` termination condition is satisfied.	[0.88519713]	[2.57414644]
3	True	0.8080103397369385	8.335641219576386	0.9096619095910935	`xtol` termination condition is satisfied.	[0.90966191]	[5.02969842]
4	True	0.7697494029998779	9.887485747153926	1.0000002504958334	`xtol` termination condition is satisfied.	[1.00000025]	[1.17014001]
1	True	0.6813259124755859	9.887485747153926	1.0000002504958334	`xtol` termination condition is satisfied.	[1.00000025]	[0.18262715]
7	True	0.6771245002746582	9.887485747153926	1.0000002504958334	`xtol` termination condition is satisfied.	[1.00000025]	[0.17592022]
8	True	0.7547807693481445	9.887485747153926	1.0000002504958334	`xtol` termination condition is satisfied.	[1.00000025]	[0.21010502]
