study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	geomean	sd	se	min	max	cv	unit	comments
Vakkalagadda2016	NA	all	20.0	API5IV	cmax	apixaban	plasma	LC MS/MS	API5IV_cmax_all_apixaban	NA	NA	NA	NA	791.3	NA	NA	NA	NA	21.0	ng/ml	NA
Vakkalagadda2016	NA	all	20.0	API5IV	auc_end	apixaban	plasma	LC MS/MS	API5IV_auc_end_all_apixaban	48.0	hr	NA	NA	1787.0	NA	NA	NA	NA	25.0	ng*hr/ml	NA
Vakkalagadda2016	NA	all	20.0	API5IV	auc_inf	apixaban	plasma	LC MS/MS	API5IV_auc_inf_all_apixaban	NA	NA	NA	NA	1816.0	NA	NA	NA	NA	25.0	ng*hr/ml	NA
Vakkalagadda2016	NA	all	20.0	API5IV	thalf	apixaban	plasma	LC MS/MS	API5IV_thalf_all_apixaban	NA	NA	9.04	NA	NA	2.22	NA	NA	NA	NA	hr	NA
Vakkalagadda2016	NA	all	20.0	API5IV	vd_ss	apixaban	plasma	LC MS/MS	API5IV_vd_ss_all_apixaban	NA	NA	NA	NA	20.39	NA	NA	NA	NA	23.0	l	NA
Vakkalagadda2016	NA	all	20.0	API5IV	clearance	apixaban	plasma	LC MS/MS	API5IV_clearance_all_apixaban	NA	NA	NA	NA	2.75	NA	NA	NA	NA	22.0	l/hr	NA
Vakkalagadda2016	NA	all	20.0	API5IV	clearance_renal	apixaban	urine	LC MS/MS	API5IV_clearance_renal_all_apixaban	NA	NA	NA	NA	0.93	NA	NA	NA	NA	29.0	l/hr	NA
Vakkalagadda2016	NA	all	20.0	API5IV	cumulative amount	apixaban	urine	calculated	API5IV_cumulative amount_all_apixaban	0.0	hr	NA	NA	0.0	NA	NA	NA	NA	NA	mg	NA
Vakkalagadda2016	NA	all	20.0	API5IV	cumulative amount	apixaban	urine	calculated	API5IV_cumulative amount_all_apixaban	48.0	hr	NA	NA	1.66191	NA	NA	NA	NA	NA	mg	NA
Vakkalagadda2016	NA	all	20.0	API5IV_after, RIF600	cmax	apixaban	plasma	LC MS/MS	API5IV_after, RIF600_cmax_all_apixaban	NA	NA	NA	NA	690.8	NA	NA	NA	NA	28.0	ng/ml	NA
Vakkalagadda2016	NA	all	20.0	API5IV_after, RIF600	auc_end	apixaban	plasma	LC MS/MS	API5IV_after, RIF600_auc_end_all_apixaban	36.0	hr	NA	NA	1097.0	NA	NA	NA	NA	32.0	ng*hr/ml	NA
Vakkalagadda2016	NA	all	20.0	API5IV_after, RIF600	auc_inf	apixaban	plasma	LC MS/MS	API5IV_after, RIF600_auc_inf_all_apixaban	NA	NA	NA	NA	1109.0	NA	NA	NA	NA	32.0	ng*hr/ml	NA
Vakkalagadda2016	NA	all	20.0	API5IV_after, RIF600	thalf	apixaban	plasma	LC MS/MS	API5IV_after, RIF600_thalf_all_apixaban	NA	NA	4.6	NA	NA	1.13	NA	NA	NA	NA	hr	NA
Vakkalagadda2016	NA	all	20.0	API5IV_after, RIF600	vd_ss	apixaban	plasma	LC MS/MS	API5IV_after, RIF600_vd_ss_all_apixaban	NA	NA	NA	NA	17.84	NA	NA	NA	NA	22.0	l	NA
Vakkalagadda2016	NA	all	20.0	API5IV_after, RIF600	clearance	apixaban	plasma	LC MS/MS	API5IV_after, RIF600_clearance_all_apixaban	NA	NA	NA	NA	4.51	NA	NA	NA	NA	24.0	l/hr	NA
Vakkalagadda2016	NA	all	20.0	API5IV_after, RIF600	clearance_renal	apixaban	urine	LC MS/MS	API5IV_after, RIF600_clearance_renal_all_apixaban	NA	NA	NA	NA	0.78	NA	NA	NA	NA	34.0	l/hr	NA
Vakkalagadda2016	NA	all	20.0	API5IV_after, RIF600	cumulative amount	apixaban	urine	calculated	API5IV_after, RIF600_cumulative amount_all_apixaban	36.0	hr	NA	NA	0.85566	NA	NA	NA	NA	NA	mg	NA
Vakkalagadda2016	NA	all	20.0	API10PO	cmax	apixaban	plasma	LC MS/MS	API10PO_cmax_all_apixaban	NA	NA	NA	NA	148.6	NA	NA	NA	NA	43.0	ng/ml	NA
Vakkalagadda2016	NA	all	20.0	API10PO	auc_end	apixaban	plasma	LC MS/MS	API10PO_auc_end_all_apixaban	48.0	hr	NA	NA	1639.0	NA	NA	NA	NA	41.0	ng*hr/ml	NA
Vakkalagadda2016	NA	all	20.0	API10PO	auc_inf	apixaban	plasma	LC MS/MS	API10PO_auc_inf_all_apixaban	NA	NA	NA	NA	1795.0	NA	NA	NA	NA	40.0	ng*hr/ml	NA
Vakkalagadda2016	NA	all	20.0	API10PO	tmax	apixaban	plasma	LC MS/MS	API10PO_tmax_all_apixaban	NA	NA	NA	3.0	NA	NA	NA	2.0	4.0	NA	hr	NA
Vakkalagadda2016	NA	all	20.0	API10PO	thalf	apixaban	plasma	LC MS/MS	API10PO_thalf_all_apixaban	NA	NA	13.91	NA	NA	3.52	NA	NA	NA	NA	hr	NA
Vakkalagadda2016	NA	all	20.0	API10PO	oral clearance	apixaban	plasma	LC MS/MS	API10PO_oral clearance_all_apixaban	NA	NA	NA	NA	5.57	NA	NA	NA	NA	37.0	l/hr	NA
Vakkalagadda2016	NA	all	20.0	API10PO	clearance_renal	apixaban	urine	LC MS/MS	API10PO_clearance_renal_all_apixaban	NA	NA	NA	NA	0.88	NA	NA	NA	NA	34.0	l/hr	NA
Vakkalagadda2016	NA	all	20.0	API10PO	bioavailability	apixaban	plasma	LC MS/MS	API10PO_bioavailability_all_apixaban	NA	NA	NA	NA	0.49	NA	NA	NA	NA	NA	dimensionless	NA
Vakkalagadda2016	NA	all	20.0	API10PO	cumulative amount	apixaban	urine	calculated	API10PO_cumulative amount_all_apixaban	0.0	hr	NA	NA	0.0	NA	NA	NA	NA	NA	mg	NA
Vakkalagadda2016	NA	all	20.0	API10PO	cumulative amount	apixaban	urine	calculated	API10PO_cumulative amount_all_apixaban	48.0	hr	NA	NA	1.44232	NA	NA	NA	NA	NA	mg	NA
Vakkalagadda2016	NA	all	20.0	API10PO_after, RIF600	cmax	apixaban	plasma	LC MS/MS	API10PO_after, RIF600_cmax_all_apixaban	NA	NA	NA	NA	88.0	NA	NA	NA	NA	44.0	ng/ml	NA
Vakkalagadda2016	NA	all	20.0	API10PO_after, RIF600	auc_end	apixaban	plasma	LC MS/MS	API10PO_after, RIF600_auc_end_all_apixaban	48.0	hr	NA	NA	783.0	NA	NA	NA	NA	40.0	ng*hr/ml	NA
Vakkalagadda2016	NA	all	20.0	API10PO_after, RIF600	auc_inf	apixaban	plasma	LC MS/MS	API10PO_after, RIF600_auc_inf_all_apixaban	NA	NA	NA	NA	866.0	NA	NA	NA	NA	35.0	ng*hr/ml	NA
Vakkalagadda2016	NA	all	20.0	API10PO_after, RIF600	tmax	apixaban	plasma	LC MS/MS	API10PO_after, RIF600_tmax_all_apixaban	NA	NA	NA	3.0	NA	NA	NA	1.0	8.0	NA	hr	NA
Vakkalagadda2016	NA	all	20.0	API10PO_after, RIF600	thalf	apixaban	plasma	LC MS/MS	API10PO_after, RIF600_thalf_all_apixaban	NA	NA	14.34	NA	NA	6.68	NA	NA	NA	NA	hr	NA
Vakkalagadda2016	NA	all	20.0	API10PO_after, RIF600	oral clearance	apixaban	plasma	LC MS/MS	API10PO_after, RIF600_oral clearance_all_apixaban	NA	NA	NA	NA	11.9	NA	NA	NA	NA	34.0	l/hr	NA
Vakkalagadda2016	NA	all	20.0	API10PO_after, RIF600	clearance_renal	apixaban	urine	LC MS/MS	API10PO_after, RIF600_clearance_renal_all_apixaban	NA	NA	NA	NA	0.8	NA	NA	NA	NA	37.0	l/hr	NA
Vakkalagadda2016	NA	all	20.0	API10PO_after, RIF600	bioavailability	apixaban	plasma	LC MS/MS	API10PO_after, RIF600_bioavailability_all_apixaban	NA	NA	NA	NA	0.37	NA	NA	NA	NA	NA	dimensionless	NA
Vakkalagadda2016	NA	all	20.0	API10PO_after, RIF600	cumulative amount	apixaban	urine	calculated	API10PO_after, RIF600_cumulative amount_all_apixaban	48.0	hr	NA	NA	0.6264	NA	NA	NA	NA	NA	mg	NA
