study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Wang2016	API5	0	NA	hr	oral	single dose	dosing	tablet	apixaban	5.0	mg	Patients were discharged from the clinical facility on day 4
Wang2016	DIALYSIS_POST	2	6.0	hr	iv	constant infusion	qualitative dosing	solution	placebo	NA	NA	period 1: On day 1 of period 1, a 5-mg oral dose was administered, followed 2 hours later by a 4-hour hemodialysis session (on hemodialysis period).
Wang2016	DIALYSIS_PRE	-4	0.0	hr	iv	constant infusion	qualitative dosing	solution	placebo	NA	NA	period 2: On day 1 of period 2, subjects were administered a second 5-mg oral dose of apixaban immediately following a 4-hour hemodialysis session, with the next session not performed until completion of the 72-hour time point sample
