study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Mikus2019	all	18.0	API25, RIV25, EDO50	recovery	edoxaban	urine	HPLC MS/MS	urine_recovery_API25, RIV25, EDO50	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Mikus2019	all	18.0	API25, RIV25, EDO50	recovery	edoxaban	urine	HPLC MS/MS	urine_recovery_API25, RIV25, EDO50	24.0	hr	27.8	NA	NA	NA	NA	NA	NA	percent	NA
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	recovery	edoxaban	urine	HPLC MS/MS	urine_recovery_API25, RIV25, EDO50, KET	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	recovery	edoxaban	urine	HPLC MS/MS	urine_recovery_API25, RIV25, EDO50, KET	24.0	hr	51.9	NA	NA	NA	NA	NA	NA	percent	NA
Mikus2019	all	18.0	API25, RIV25, EDO50	cumulative amount	edoxaban	urine	HPLC MS/MS	edoxaban_urine_API25, RIV25, EDO50	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	nmole	NA
Mikus2019	all	18.0	API25, RIV25, EDO50	cumulative amount	edoxaban	urine	HPLC MS/MS	edoxaban_urine_API25, RIV25, EDO50	24.0	hr	25.3622791748319	NA	NA	NA	NA	NA	NA	nmole	NA
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	cumulative amount	edoxaban	urine	HPLC MS/MS	edoxaban_urine_API25, RIV25, EDO50, KET	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	nmole	NA
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	cumulative amount	edoxaban	urine	HPLC MS/MS	edoxaban_urine_API25, RIV25, EDO50, KET	24.0	hr	47.3490032076897	NA	NA	NA	NA	NA	NA	nmole	NA
