study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Mikus2019	all	18.0	API25, RIV25, EDO50	recovery	apixaban	urine	HPLC MS/MS	urine_recovery_apixban_API25, RIV25, EDO50	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Mikus2019	all	18.0	API25, RIV25, EDO50	recovery	apixaban	urine	HPLC MS/MS	urine_recovery_apixban_API25, RIV25, EDO50	24.0	hr	24.3	NA	NA	NA	NA	7.35968282459467	NA	percent	NA
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	recovery	apixaban	urine	HPLC MS/MS	urine_recovery_apixban_API25, RIV25, EDO50, KET	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	recovery	apixaban	urine	HPLC MS/MS	urine_recovery_apixban_API25, RIV25, EDO50, KET	24.0	hr	37.0	NA	NA	NA	NA	6.60206841618052	NA	percent	NA
Mikus2019	all	18.0	API25, RIV25, EDO50	cumulative amount	apixaban	urine	HPLC MS/MS	apixaban_urine_API25, RIV25, EDO50	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	nmole	NA
Mikus2019	all	18.0	API25, RIV25, EDO50	cumulative amount	apixaban	urine	HPLC MS/MS	apixaban_urine_API25, RIV25, EDO50	24.0	hr	13.2208922742111	NA	NA	NA	NA	4.00417999161843	NA	nmole	NA
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	cumulative amount	apixaban	urine	HPLC MS/MS	apixaban_urine_API25, RIV25, EDO50, KET	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	nmole	NA
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	cumulative amount	apixaban	urine	HPLC MS/MS	apixaban_urine_API25, RIV25, EDO50, KET	24.0	hr	20.1305767138194	NA	NA	NA	NA	3.59198499248124	NA	nmole	NA
