study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Mikus2019	all	18.0	API25, RIV25, EDO50	cmax	edoxaban	plasma	HPLC MS/MS	24.0	hr	162.0	NA	NA	NA	NA	NA	NA	pg/ml	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50	tmax	edoxaban	plasma	HPLC MS/MS	NA	NA	0.88	NA	NA	NA	NA	NA	NA	hr	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50	auc_inf	edoxaban	plasma	HPLC MS/MS	NA	NA	1144.0	NA	NA	NA	NA	NA	NA	pg*hr/ml	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50	thalf	edoxaban	plasma	HPLC MS/MS	NA	NA	5.42	NA	NA	NA	NA	NA	NA	hr	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50	vd	edoxaban	plasma	HPLC MS/MS	NA	NA	341.0	NA	NA	NA	NA	NA	NA	l	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50	oral clearance	edoxaban	plasma	HPLC MS/MS	NA	NA	728.0	NA	NA	NA	NA	NA	NA	ml/hr	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50	recovery	edoxaban	urine	HPLC MS/MS	24.0	hr	27.8	NA	NA	NA	NA	NA	NA	percent	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50	clearance_renal	edoxaban	urine	HPLC MS/MS	24.0	hr	202.0	NA	NA	NA	NA	NA	NA	ml/min	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50	clearance	edoxaban	urine	HPLC MS/MS	24.0	hr	341.0	NA	NA	NA	NA	NA	NA	ml/min	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	cmax	edoxaban	plasma	HPLC MS/MS	24.0	hr	495.0	NA	NA	NA	NA	NA	NA	pg/ml	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	tmax	edoxaban	plasma	HPLC MS/MS	NA	NA	0.75	NA	NA	NA	NA	NA	NA	hr	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	auc_inf	edoxaban	plasma	HPLC MS/MS	NA	NA	2682.0	NA	NA	NA	NA	NA	NA	pg*hr/ml	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	thalf	edoxaban	plasma	HPLC MS/MS	NA	NA	5.23	NA	NA	NA	NA	NA	NA	hr	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	vd	edoxaban	plasma	HPLC MS/MS	NA	NA	141.0	NA	NA	NA	NA	NA	NA	l	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	oral clearance	edoxaban	plasma	HPLC MS/MS	NA	NA	311.0	NA	NA	NA	NA	NA	NA	ml/hr	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	recovery	edoxaban	urine	HPLC MS/MS	24.0	hr	51.9	NA	NA	NA	NA	NA	NA	percent	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	clearance_renal	edoxaban	urine	HPLC MS/MS	24.0	hr	161.0	NA	NA	NA	NA	NA	NA	ml/min	geometric mean
Mikus2019	all	18.0	API25, RIV25, EDO50, KET	clearance	edoxaban	urine	HPLC MS/MS	24.0	hr	141.0	NA	NA	NA	NA	NA	NA	ml/min	geometric mean
