study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Mikus2019	all	18	NA	species	18	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Mikus2019	all	18	NA	healthy	18	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Mikus2019	all	18	NA	sex	7	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Mikus2019	all	18	NA	sex	11	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Mikus2019	all	18	NA	overnight fast	18	NA	NR	NA	NA	NA	NA	NA	NA	NA	NA
Mikus2019	all	18	NA	age	18	NA	NA	37.0	NA	NA	NA	18.0	56.0	yr	means not reported
Mikus2019	all	18	NA	bmi	18	NA	NA	24.75	NA	NA	NA	19.8	29.7	kg/m^2	NA
