study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Vandell2018	SLC_C	384.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	96.0	hr	1792.9	NA	NA	NA	NA	442.8	NA	ng*hr/ml	NA
Vandell2018	SLC_C	384.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	1644.1	NA	NA	NA	NA	440.6	NA	ng*hr/ml	NA
Vandell2018	SLC_C	381.0	ED60	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1823.5	NA	NA	NA	NA	444.9	NA	ng*hr/ml	NA
Vandell2018	SLC_C	384.0	ED60	cmax	edoxaban	plasma	LC MS/MS	NA	NA	255.1	NA	NA	NA	NA	97.4	NA	ng/ml	NA
Vandell2018	SLC_C	382.0	ED60	concentration	edoxaban	plasma	LC MS/MS	24.0	hr	12.3	NA	NA	NA	NA	5.4	NA	ng/ml	NA
Vandell2018	SLC_TT	74.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	96.0	hr	1777.2	NA	NA	NA	NA	380.8	NA	ng*hr/ml	NA
Vandell2018	SLC_TT	74.0	ED60	auc_end	edoxaban	plasma	LC MS/MS	24.0	hr	1643.8	NA	NA	NA	NA	392.9	NA	ng*hr/ml	NA
Vandell2018	SLC_TT	72.0	ED60	auc_inf	edoxaban	plasma	LC MS/MS	NA	NA	1815.5	NA	NA	NA	NA	382.4	NA	ng*hr/ml	NA
Vandell2018	SLC_TT	74.0	ED60	cmax	edoxaban	plasma	LC MS/MS	NA	NA	268.0	NA	NA	NA	NA	94.7	NA	ng/ml	NA
Vandell2018	SLC_TT	74.0	ED60	concentration	edoxaban	plasma	LC MS/MS	24.0	hr	11.6	NA	NA	NA	NA	4.8	NA	ng/ml	NA
Vandell2018	SLC_C	384.0	ED60	auc_end	edoxaban-M4	plasma	LC MS/MS	96.0	hr	147.1	NA	NA	NA	NA	60.7	NA	ng*hr/ml	NA
Vandell2018	SLC_C	384.0	ED60	auc_end	edoxaban-M4	plasma	LC MS/MS	24.0	hr	134.7	NA	NA	NA	NA	57.2	NA	ng*hr/ml	NA
Vandell2018	SLC_C	379.0	ED60	auc_inf	edoxaban-M4	plasma	LC MS/MS	NA	NA	150.2	NA	NA	NA	NA	61.4	NA	ng*hr/ml	NA
Vandell2018	SLC_C	384.0	ED60	cmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	21.2	NA	NA	NA	NA	10.7	NA	ng/ml	NA
Vandell2018	SLC_C	382.0	ED60	concentration	edoxaban-M4	plasma	LC MS/MS	24.0	hr	1.1	NA	NA	NA	NA	0.57	NA	ng/ml	NA
Vandell2018	SLC_TT	74.0	ED60	auc_end	edoxaban-M4	plasma	LC MS/MS	96.0	hr	184.6	NA	NA	NA	NA	75.6	NA	ng*hr/ml	NA
Vandell2018	SLC_TT	74.0	ED60	auc_end	edoxaban-M4	plasma	LC MS/MS	24.0	hr	170.0	NA	NA	NA	NA	73.0	NA	ng*hr/ml	NA
Vandell2018	SLC_TT	72.0	ED60	auc_inf	edoxaban-M4	plasma	LC MS/MS	NA	NA	191.9	NA	NA	NA	NA	76.4	NA	ng*hr/ml	NA
Vandell2018	SLC_TT	74.0	ED60	cmax	edoxaban-M4	plasma	LC MS/MS	NA	NA	26.7	NA	NA	NA	NA	13.6	NA	ng/ml	NA
Vandell2018	SLC_TT	74.0	ED60	concentration	edoxaban-M4	plasma	LC MS/MS	24.0	hr	1.3	NA	NA	NA	NA	0.74	NA	ng/ml	NA
