study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Vandell2018	all	458.0	NA	species	458.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	all	458.0	NA	healthy	458.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	all	458.0	NA	sex	365.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	all	458.0	NA	sex	93.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	all	458.0	NA	ethnicity	2.0	NA	american indian	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	all	458.0	NA	ethnicity	10.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	all	458.0	NA	ethnicity	250.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	all	458.0	NA	ethnicity	177.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	all	458.0	NA	ethnicity	105.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	all	458.0	NA	overnight fast	458.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	all	458.0	NA	age	458.0	NA	NA	31.1	NA	7.4	NA	NA	NA	yr	NA
Vandell2018	all	458.0	NA	weight	458.0	NA	NA	79.8	NA	12.2	NA	NA	NA	kg	NA
Vandell2018	all	458.0	NA	bmi	458.0	NA	NA	26.1	NA	3.1	NA	NA	NA	kg/m^2	NA
Vandell2018	ABC_CC	206.0	all	sex	167.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_CC	206.0	all	sex	39.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_CC	206.0	all	ethnicity	1.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_CC	206.0	all	ethnicity	150.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_CC	206.0	all	ethnicity	43.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_CC	206.0	all	ethnicity	38.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_CC	206.0	all	age	206.0	NA	NA	32.1	NA	7.4	NA	NA	NA	yr	NA
Vandell2018	ABC_CC	206.0	all	weight	206.0	NA	NA	81.5	NA	12.1	NA	NA	NA	kg	NA
Vandell2018	ABC_CC	206.0	all	bmi	206.0	NA	NA	26.6	NA	3.1	NA	NA	NA	kg/m^2	NA
Vandell2018	ABC_CT	193.0	all	sex	150.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_CT	193.0	all	sex	43.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_CT	193.0	all	ethnicity	2.0	NA	american indian	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_CT	193.0	all	ethnicity	6.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_CT	193.0	all	ethnicity	91.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_CT	193.0	all	ethnicity	89.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_CT	193.0	all	ethnicity	51.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_CT	193.0	all	age	193.0	NA	NA	30.2	NA	6.9	NA	NA	NA	yr	NA
Vandell2018	ABC_CT	193.0	all	weight	193.0	NA	NA	79.0	NA	12.1	NA	NA	NA	kg	NA
Vandell2018	ABC_CT	193.0	all	bmi	193.0	NA	NA	25.9	NA	3.0	NA	NA	NA	kg/m^2	NA
Vandell2018	ABC_TT	59.0	all	sex	48.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_TT	59.0	all	sex	11.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_TT	59.0	all	ethnicity	3.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_TT	59.0	all	ethnicity	9.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_TT	59.0	all	ethnicity	45.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_TT	59.0	all	ethnicity	16.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	ABC_TT	59.0	all	age	59.0	NA	NA	30.9	NA	8.5	NA	NA	NA	yr	NA
Vandell2018	ABC_TT	59.0	all	weight	59.0	NA	NA	76.6	NA	12.0	NA	NA	NA	kg	NA
Vandell2018	ABC_TT	59.0	all	bmi	59.0	NA	NA	25.2	NA	3.0	NA	NA	NA	kg/m^2	NA
Vandell2018	SLC_TT	384.0	all	sex	311.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	SLC_TT	384.0	all	sex	73.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	SLC_TT	384.0	all	ethnicity	1.0	NA	american indian	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	SLC_TT	384.0	all	ethnicity	9.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Vandell2018	SLC_TT	384.0	all	ethnicity	226.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
